,starname,HD,HIP,TIC,letter,facility,n_stars,n_planets,discovery_method,year,period,a,planet_radius,planet_mass,density,e,insolation_flux,teff,i,b,K,spectral_type,star_temperature,star_radius,star_mass,star_met,star_luminosity,star_logg,star_age,star_density,star_prot,distance,RA,Dec
0,OGLE-2016-BLG-1227L,,,,b,OGLE,1,1,Microlensing,2020,,3.4,13.9,250.0,0.512,,,,,,,,,,0.1,,,,,,,,265.597125,-33.7597778
1,Kepler-276,,,TIC 138213510,c,Kepler,1,3,Transit,2013,31.884,0.1994,2.9,16.6,3.74,0.0,19.79,563.0,86.92,0.3966,,,5779.0,1.03,1.1,0.02,-0.089,4.46,0.4,1.73156,,1144.86,293.568197,39.0363123
2,Kepler-829,,,TIC 123451768,b,Kepler,1,1,Transit,2016,6.88337562,0.0678,2.11,5.1,2.98,0.0,247.47,857.0,89.82,0.075,,,5698.0,0.97,0.98,0.03,0.04,4.46,4.68,5.22062,,1073.76,282.3328312,42.4638125
3,K2-283,,,TIC 266017624,b,K2,1,1,Transit,2018,1.921036,0.0291,3.52,12.2,1.54,,,1186.0,,0.37,,,5060.0,0.82,0.89,0.28,-0.524,4.56,,2.861,,402.915,13.1943679,9.6929181
4,Kepler-477,,,TIC 158633329,b,Kepler,2,1,Transit,2016,11.11990653,0.0911,2.07,4.94,3.06,0.0,38.71,649.0,87.75,0.68,,,5240.0,0.79,0.87,-0.04,-0.372,4.58,2.09,1.44556,,367.0,288.067445,42.355305
5,HAT-P-15,,,TIC 353459965,b,HATNet,1,1,Transit,2010,10.8635,0.0965,11.882,616.5902,1.96,0.19,,904.0,89.1,0.342,180.6,G5,5568.0,1.07,1.0,0.22,0.0,4.38,6.8,1.14,,192.516,66.248142,39.460602
6,HD 149143,HD 149143,HIP 81022,TIC 281520119,b,Haute-Provence Observatory,1,1,Radial Velocity,2005,4.07182,0.053,13.6,422.7139,0.923,0.0167,,,,,150.3,G0,5856.0,1.44,1.2,0.29,0.35,4.25,4.28,0.28619,,73.2801,248.2126715,2.0844547
7,HD 210702,HD 210702,HIP 109577,TIC 456826468,b,Lick Observatory,1,1,Radial Velocity,2007,354.1,1.148,13.4,574.63664,1.31,0.028,,,,,37.8,K1 III,4951.0,4.92,1.61,0.04,1.149,3.28,2.1,,,54.1963,332.9638643,16.0404806
8,HIP 12961,,HIP 12961,TIC 204614039,b,La Silla Observatory,1,1,Radial Velocity,2010,57.435,0.25,13.2,114.4188,0.273,0.17,,,,,24.7,M0,3901.0,0.65,0.69,-0.14,-1.003,4.65,,3.02935,,23.371,41.6800749,-23.0860048
9,NGTS-6,,,TIC 1528696,b,Paranal Observatory,1,1,Transit,2019,0.882059,0.01677,14.863,425.57437,0.711,0.0,983.42,1283.9,78.231,0.976,322.0,,4730.0,0.75,0.77,0.11,-0.592,4.7,9.77,3.9304,,308.262,75.795382,-30.3994612
10,LP 791-18,,,TIC 181804752,c,Transiting Exoplanet Survey Satellite (TESS),1,2,Transit,2019,4.989963,0.029392,2.31,5.95,2.65,0.0,2.35,370.0,89.55,0.28,,M(6.1+/-0.7) V,2960.0,0.17,0.14,-0.09,-2.697,5.12,0.5,31.1,,26.4927,165.6904843,-16.4064445
11,Kepler-396,,,TIC 27769688,c,Kepler,1,2,Transit,2013,88.505,0.378,5.3,17.9,0.661,0.0,5.24,390.0,89.86,0.8056,,,5565.0,1.06,0.85,0.156,-0.135,4.32,4.37,0.57056,,223.757,296.1328135,48.9773095
12,TOI-620,,,TIC 296739893,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2022,5.0988179,0.04825,3.76,13.6,1.41,0.22,20.8,603.6,87.47,0.887,,M2.5 V,3708.0,0.55,0.58,0.35,-1.288,4.72,7.2,4.89,8.99,33.0231,142.1734459,-12.1671652
13,HATS-44,,,TIC 32499655,b,HATSouth,1,1,Transit,2018,2.7439004,0.03649,11.96,177.9848,0.56,0.279,306.42,1161.0,84.65,0.862,90.0,,5080.0,0.85,0.86,0.32,-0.398,4.51,9.7,1.98,,446.035,84.3267559,-27.9725758
14,GJ 436,,HIP 57087,TIC 138819293,b,W. M. Keck Observatory,1,1,Radial Velocity,2004,2.64388312,0.0291,4.17,22.1,1.8,0.13827,29.43,686.0,86.44,0.736,17.09,M2.5 V,3586.11,0.46,0.47,0.099,-1.585,4.79,6.0,7.0,44.09,9.75321,175.5505363,26.7030669
15,GJ 486,,HIP 62452,TIC 390651552,b,Calar Alto Observatory,1,1,Radial Velocity,2021,1.467119,0.01734,1.305,2.82,7.0,0.05,40.3,701.0,88.4,,3.37,M3.5 V,3340.0,0.33,0.32,0.07,-1.917,4.89,,12.10824,130.1,8.07426,191.981531,9.7494181
