   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    1.35000  0.00000000000E+00   1.98917   3.81363  11.73342 -30.00000   0.48189   0.00000  0.00000E+00  9.55480E-01  4.44200E-02  1.71800E-06     0.84000     0.21550     0.00000     0.00010    -0.05535  7.31000E-01  2.68900E-01  1.17700E-05  1.14700E-05  4.36900E-05   1.0000000000
        2    1.35000  1.53490000000E+04   1.98790   3.81294  11.73416 -30.00000   0.48189   0.00000  0.00000E+00  9.55190E-01  4.47000E-02  7.75600E-06     0.79400     0.21800     0.00000     0.00010    -0.01190  7.31000E-01  2.68900E-01  1.17700E-05  1.14700E-05  4.36900E-05   1.0004207242
        3    1.35000  3.45360000000E+04   1.98763   3.81190  11.73610 -30.00000   0.48189   0.00000  0.00000E+00  9.54820E-01  4.50600E-02  1.54000E-05     0.80140     0.21970     0.00000     0.00010    -0.02099  7.31000E-01  2.68900E-01  1.17700E-05  1.14700E-05  4.36900E-05   1.0009466499
        4    1.35000  5.85190000000E+04   1.98812   3.81064  11.73888 -30.00000   0.48189   0.00000  0.00000E+00  9.54360E-01  4.55200E-02  2.50900E-05     0.80050     0.22110     0.00000     0.00010    -0.02150  7.31000E-01  2.68900E-01  1.17700E-05  1.14700E-05  4.36900E-05   1.0016040365
        5    1.35000  8.84980000000E+04   1.98916   3.80924  11.74220 -30.00000   0.48189   0.00000  0.00000E+00  9.53780E-01  4.60800E-02  3.73800E-05     0.79490     0.22250     0.00000     0.00010    -0.01717  7.31000E-01  2.68900E-01  1.17700E-05  1.14700E-05  4.36900E-05   1.0024257767
        6    1.35000  1.25972000000E+05   1.99059   3.80787  11.74565 -30.00000   0.48189   0.00000  0.00000E+00  9.53050E-01  4.68000E-02  5.30600E-05     0.79080     0.22320     0.00000     0.00010    -0.01385  7.31000E-01  2.68900E-01  1.17700E-05  1.14700E-05  4.36900E-05   1.0034529587
        7    1.35000  1.72814000000E+05   1.99207   3.80669  11.74874 -30.00000   0.48189   0.00000  0.00000E+00  9.52130E-01  4.77000E-02  7.30700E-05     0.78780     0.22330     0.00000     0.00010    -0.01091  7.31000E-01  2.68900E-01  1.17700E-05  1.14700E-05  4.36900E-05   1.0047369225
        8    1.35000  2.31367000000E+05   1.99326   3.80579  11.75115 -30.00000   0.48189   0.00000  0.00000E+00  9.50970E-01  4.88300E-02  9.87000E-05     0.78570     0.22290     0.00000     0.00010    -0.00846  7.31000E-01  2.68900E-01  1.17700E-05  1.14700E-05  4.36900E-05   1.0063418910
        9    1.35000  3.04558000000E+05   1.99408   3.80511  11.75292 -30.00000   0.48189   0.00000  0.00000E+00  9.49520E-01  5.02400E-02  1.31600E-04     0.78450     0.22230     0.00000     0.00010    -0.00671  7.31000E-01  2.68900E-01  1.17700E-05  1.14700E-05  4.36900E-05   1.0083480948
       10    1.35000  3.96046000000E+05   1.99459   3.80454  11.75431 -30.00000   0.48189   0.00000  0.00000E+00  9.47720E-01  5.20000E-02  1.74100E-04     0.78390     0.22190     0.00000     0.00010    -0.00568  7.31000E-01  2.68900E-01  1.17700E-05  1.14700E-05  4.36900E-05   1.0108558290
       11    1.35000  5.10406000000E+05   1.99494   3.80397  11.75563 -30.00000   0.48189   0.00000  0.00000E+00  9.45470E-01  5.42000E-02  2.29300E-04     0.78360     0.22170     0.00000     0.00010    -0.00518  7.31000E-01  2.68900E-01  1.17700E-05  1.14700E-05  4.36900E-05   1.0139904967
       12    1.35000  6.53356000000E+05   1.99526   3.80330  11.75713 -30.00000   0.48189   0.00000  0.00000E+00  9.42660E-01  5.69300E-02  3.01600E-04     0.78330     0.22190     0.00000     0.00010    -0.00499  7.31000E-01  2.68900E-01  1.17700E-05  1.14700E-05  4.36900E-05   1.0179088313
