   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.76000  0.00000000000E+00   1.62014   3.63079  11.91458 -30.00000   0.44860   0.00000  0.00000E+00  9.04450E-01  3.80200E-02  1.11600E-02     0.79730     0.25960     0.00000     0.00030    -0.05734  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000000000
        2    0.76000  1.53490000000E+02   1.62014   3.63079  11.91458 -30.00000   0.44860   0.00000  0.00000E+00  9.04450E-01  3.80200E-02  1.11600E-02     0.71290     0.25960     0.00000     0.00030     0.02687  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000029888
        3    0.76000  3.45360000000E+02   1.62014   3.63079  11.91458 -30.00000   0.44860   0.00000  0.00000E+00  9.04440E-01  3.80200E-02  1.11600E-02     0.80060     0.25960     0.00000     0.00030    -0.06047  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000067249
        4    0.76000  5.85190000000E+02   1.62014   3.63079  11.91458 -30.00000   0.44860   0.00000  0.00000E+00  9.04440E-01  3.80300E-02  1.11600E-02     0.78860     0.25960     0.00000     0.00030    -0.04856  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000113948
        5    0.76000  8.84980000000E+02   1.62013   3.63079  11.91458 -30.00000   0.44860   0.00000  0.00000E+00  9.04440E-01  3.80300E-02  1.11600E-02     0.78580     0.25960     0.00000     0.00030    -0.04569  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000172324
        6    0.76000  1.25972000000E+03   1.62012   3.63079  11.91457 -30.00000   0.44860   0.00000  0.00000E+00  9.04430E-01  3.80300E-02  1.11600E-02     0.78450     0.25950     0.00000     0.00030    -0.04434  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000245293
        7    0.76000  1.72814000000E+03   1.62009   3.63079  11.91455 -30.00000   0.44860   0.00000  0.00000E+00  9.04430E-01  3.80400E-02  1.11600E-02     0.78260     0.25950     0.00000     0.00030    -0.04238  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000336504
        8    0.76000  2.31367000000E+03   1.62003   3.63080  11.91451 -30.00000   0.44860   0.00000  0.00000E+00  9.04420E-01  3.80500E-02  1.11600E-02     0.77910     0.25950     0.00000     0.00030    -0.03891  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000450519
        9    0.76000  3.04558000000E+03   1.61991   3.63081  11.91443 -30.00000   0.44860   0.00000  0.00000E+00  9.04410E-01  3.80600E-02  1.11600E-02     0.77480     0.25960     0.00000     0.00030    -0.03461  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000593037
       10    0.76000  3.96046000000E+03   1.61968   3.63083  11.91428 -30.00000   0.44860   0.00000  0.00000E+00  9.04400E-01  3.80700E-02  1.11600E-02     0.76970     0.25970     0.00000     0.00030    -0.02971  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000771183
       11    0.76000  5.10406000000E+03   1.61932   3.63085  11.91405 -30.00000   0.44860   0.00000  0.00000E+00  9.04380E-01  3.80800E-02  1.11600E-02     0.76410     0.25990     0.00000     0.00030    -0.02428  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000993865
       12    0.76000  6.53356000000E+03   1.61887   3.63088  11.91376 -30.00000   0.44860   0.00000  0.00000E+00  9.04360E-01  3.81000E-02  1.11600E-02     0.75840     0.26030     0.00000     0.00030    -0.01886  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0001272218
       13    0.76000  8.32046000000E+03   1.61847   3.63090  11.91352 -30.00000   0.44860   0.00000  0.00000E+00  9.04340E-01  3.81200E-02  1.11600E-02     0.75300     0.26060     0.00000     0.00030    -0.01381  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0001620164
       14    0.76000  1.05540600000E+04   1.61834   3.63090  11.91346 -30.00000   0.44860   0.00000  0.00000E+00  9.04310E-01  3.81500E-02  1.11600E-02     0.74800     0.26090     0.00000     0.00030    -0.00907  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0002055092
       15    0.76000  1.33460600000E+04   1.61873   3.63086  11.91374 -30.00000   0.44860   0.00000  0.00000E+00  9.04280E-01  3.81800E-02  1.11700E-02     0.74380     0.26090     0.00000     0.00030    -0.00501  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0002598751
       16    0.76000  1.68360600000E+04   1.61975   3.63077  11.91443 -30.00000   0.44860   0.00000  0.00000E+00  9.04230E-01  3.82300E-02  1.11700E-02     0.74110     0.26060     0.00000     0.00030    -0.00204  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0003278326
       17    0.76000  2.11985600000E+04   1.62125   3.63064  11.91543 -30.00000   0.44860   0.00000  0.00000E+00  9.04180E-01  3.82800E-02  1.11700E-02     0.74000     0.26000     0.00000     0.00030    -0.00017  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0004127794
       18    0.76000  2.66516600000E+04   1.62279   3.63053  11.91643 -30.00000   0.44860   0.00000  0.00000E+00  9.04110E-01  3.83500E-02  1.11700E-02     0.74030     0.25930     0.00000     0.00030     0.00025  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0005189624
       19    0.76000  3.34680600000E+04   1.62383   3.63045  11.91711 -30.00000   0.44860   0.00000  0.00000E+00  9.04020E-01  3.84300E-02  1.11700E-02     0.74130     0.25880     0.00000     0.00030    -0.00029  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0006516917
       20    0.76000  4.19885600000E+04   1.62414   3.63043  11.91729 -30.00000   0.44860   0.00000  0.00000E+00  9.03910E-01  3.85400E-02  1.11700E-02     0.74230     0.25870     0.00000     0.00030    -0.00123  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0008176033
       21    0.76000  5.26395600000E+04   1.62385   3.63046  11.91709 -30.00000   0.44860   0.00000  0.00000E+00  9.03780E-01  3.86600E-02  1.11800E-02     0.74290     0.25890     0.00000     0.00030    -0.00199  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0010250000
       22    0.76000  6.59525600000E+04   1.62331   3.63051  11.91673 -30.00000   0.44860   0.00000  0.00000E+00  9.03620E-01  3.88200E-02  1.11800E-02     0.74320     0.25930     0.00000     0.00030    -0.00258  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0012842314
       23    0.76000  8.25945600000E+04   1.62276   3.63055  11.91636 -30.00000   0.44860   0.00000  0.00000E+00  9.03410E-01  3.90200E-02  1.11900E-02     0.74320     0.25970     0.00000     0.00030    -0.00304  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0016082852
       24    0.76000  1.03396560000E+05   1.62231   3.63059  11.91607 -30.00000   0.44860   0.00000  0.00000E+00  9.03150E-01  3.92700E-02  1.11900E-02     0.74330     0.26000     0.00000     0.00030    -0.00340  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0020133428
