   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.76000  0.00000000000E+00   1.67700   3.92242  11.35976 -30.00000   0.50364   0.00000  0.00000E+00  9.52280E-01  4.76100E-02  2.59300E-06     0.64870     0.56680     0.00000     0.00030    -0.21550  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0000000000
        2    0.76000  8.18130000000E+03   1.68057   3.92011  11.36616 -30.00000   0.50364   0.00000  0.00000E+00  9.52100E-01  4.77900E-02  6.50600E-06     0.48790     0.56350     0.00000     0.00030    -0.05155  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0002535146
        3    0.76000  1.84083000000E+04   1.68627   3.91823  11.37277 -30.00000   0.50364   0.00000  0.00000E+00  9.51860E-01  4.80200E-02  1.14300E-05     0.48760     0.55660     0.00000     0.00030    -0.04425  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0005704194
        4    0.76000  3.11913000000E+04   1.69022   3.91672  11.37777 -30.00000   0.50364   0.00000  0.00000E+00  9.51570E-01  4.83100E-02  1.76100E-05     0.48800     0.55220     0.00000     0.00030    -0.04020  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0009665273
        5    0.76000  4.71703000000E+04   1.69227   3.91519  11.38185 -30.00000   0.50364   0.00000  0.00000E+00  9.51210E-01  4.86700E-02  2.54000E-05     0.47910     0.55180     0.00000     0.00030    -0.03080  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0014616698
        6    0.76000  6.71443000000E+04   1.69399   3.91337  11.38635 -30.00000   0.50364   0.00000  0.00000E+00  9.50750E-01  4.91200E-02  3.52400E-05     0.47060     0.55330     0.00000     0.00030    -0.02378  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0020806057
        7    0.76000  9.21113000000E+04   1.69637   3.91136  11.39156 -30.00000   0.50364   0.00000  0.00000E+00  9.50170E-01  4.96800E-02  4.77100E-05     0.46230     0.55540     0.00000     0.00030    -0.01748  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0028542601
        8    0.76000  1.23320300000E+05   1.69919   3.90947  11.39675 -30.00000   0.50364   0.00000  0.00000E+00  9.49440E-01  5.03900E-02  6.36000E-05     0.45510     0.55750     0.00000     0.00030    -0.01231  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0038213358
        9    0.76000  1.62331300000E+05   1.70178   3.90801  11.40096 -30.00000   0.50364   0.00000  0.00000E+00  9.48520E-01  5.12900E-02  8.39000E-05     0.44980     0.55950     0.00000     0.00030    -0.00891  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0050301727
       10    0.76000  2.11095300000E+05   1.70364   3.90713  11.40366 -30.00000   0.50364   0.00000  0.00000E+00  9.47440E-01  5.23400E-02  1.08100E-04     0.44660     0.56100     0.00000     0.00030    -0.00718  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0065412266
