   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.51000  0.00000000000E+00   1.34451   4.45701  10.12433 -30.00000   0.50376   0.00000  0.00000E+00  9.52290E-01  4.76100E-02  2.54500E-06     0.00010     1.00050     0.00000     0.00060     0.00000  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0000000000
        2    0.51000  1.53490000000E+04   1.34454   4.45702  10.12433 -30.00000   0.50376   0.00000  0.00000E+00  9.51990E-01  4.79000E-02  9.11600E-06     0.00010     1.00260     0.00000     0.00060    -0.00205  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0003774316
        3    0.51000  3.45360000000E+04   1.34455   4.45702  10.12433 -30.00000   0.50376   0.00000  0.00000E+00  9.51610E-01  4.82700E-02  1.74000E-05     0.00010     1.00470     0.00000     0.00060    -0.00418  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0008492394
        4    0.51000  5.85190000000E+04   1.34455   4.45702  10.12433 -30.00000   0.50376   0.00000  0.00000E+00  9.51140E-01  4.87300E-02  2.78600E-05     0.00010     1.00680     0.00000     0.00060    -0.00625  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0014389809
        5    0.51000  8.84980000000E+04   1.34452   4.45701  10.12433 -30.00000   0.50376   0.00000  0.00000E+00  9.50560E-01  4.93000E-02  4.10800E-05     0.00010     1.00870     0.00000     0.00060    -0.00809  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0021761638
        6    0.51000  1.25972000000E+05   1.34447   4.45699  10.12434 -30.00000   0.50376   0.00000  0.00000E+00  9.49820E-01  5.00200E-02  5.78600E-05     0.00010     1.01010     0.00000     0.00060    -0.00949  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0030976486
        7    0.51000  1.72814000000E+05   1.34440   4.45696  10.12436 -30.00000   0.50376   0.00000  0.00000E+00  9.48900E-01  5.09200E-02  7.92000E-05     0.00010     1.01090     0.00000     0.00060    -0.01036  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0042494923
        8    0.51000  2.31367000000E+05   1.34436   4.45693  10.12442 -30.00000   0.50376   0.00000  0.00000E+00  9.47750E-01  5.20400E-02  1.06400E-04     0.00010     1.01120     0.00000     0.00060    -0.01068  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0056893092
        9    0.51000  3.04558000000E+05   1.34442   4.45689  10.12453 -30.00000   0.50376   0.00000  0.00000E+00  9.46310E-01  5.34500E-02  1.41300E-04     0.00010     1.01110     0.00000     0.00060    -0.01060  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0074890742
       10    0.51000  3.96046000000E+05   1.34463   4.45685  10.12471 -30.00000   0.50376   0.00000  0.00000E+00  9.44510E-01  5.52000E-02  1.86300E-04     0.00010     1.01090     0.00000     0.00060    -0.01032  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0097387620
