recno,LC,TBest,TBest2,Mbest,Mbest2,SolID,Source,Pf,e_Pf,P1O,e_P1O,P2O,e_P2O,P3O,e_P3O,EpG,e_EpG,EpBP,e_EpBP,EpRP,e_EpRP,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,AmpG,e_AmpG,AmpBP,e_AmpBP,AmpRP,e_AmpRP,[Fe/H],e_[Fe/H],R21G,e_R21G,R31G,e_R31G,phi21G,e_phi21G,phi31G,e_phi31G,o_EpG,o_EpBP,o_EpRP,RA_ICRS,DE_ICRS,_RA.icrs,_DE.icrs
1,LC,DCEP,,FUNDAMENTAL,,369295551293819386,5995711814808683648,11.19933461,1.5987E-4,nan,nan,nan,nan,nan,nan,1713.50700024,2.261E-4,1679.27815295,2.261E-4,1679.7696092,2.261E-4,12.6284,1.0E-4,13.2748,3.0E-4,11.857,2.0E-4,0.286951,3.03E-4,0.31042,0.001436,0.253176,0.001243,nan,nan,0.09298,9.8E-4,nan,nan,6.98488,0.00968,nan,nan,32,34,31,237.17375455558,-42.26556630747,237.17375455558,-42.26556630747
2,LC,DCEP,,FIRST_OVERTONE,,369295551293819386,6018697994426978432,nan,nan,1.37699929,3.75E-6,nan,nan,nan,nan,1705.66363408,5.3E-6,1705.66534444,5.3E-6,1705.6751384,5.3E-6,15.273,7.0E-4,15.8461,0.0193,14.4674,0.0091,0.776957,0.001795,1.147663,0.045731,0.63643,0.019964,nan,nan,0.32706,0.00171,nan,nan,4.15894,0.0042,nan,nan,18,14,13,248.2837675898,-37.10126160453,248.2837675898,-37.10126160453
3,LC,T2CEP,W_VIR,NOT_APPLICABLE,,369295551293819386,5989694118953196288,9.073607,1.0502E-4,nan,nan,nan,nan,nan,nan,1717.90549667,1.4852E-4,1717.58053314,1.4852E-4,1718.1165184,1.4852E-4,10.3376,1.0E-4,11.0341,2.0E-4,9.5648,6.0E-4,0.24141,5.39E-4,0.2883,0.001292,0.190987,8.32E-4,nan,nan,0.48443,0.00192,nan,nan,7.09849,0.00508,nan,nan,30,26,28,237.01312669219,-42.63556726193,237.01312669219,-42.63556726193
4,LC,DCEP,,FIRST_OVERTONE,,369295551293819386,6005949436284345856,nan,nan,1.46965131,2.16E-6,nan,nan,nan,nan,1701.75064873,3.05E-6,1701.76590635,3.05E-6,1701.78349569,3.05E-6,15.6277,2.0E-4,15.9089,0.0013,15.1733,0.0012,0.799325,9.53E-4,0.96049,0.005547,0.627823,0.005657,nan,nan,0.32426,0.00112,nan,nan,4.0864,0.00372,nan,nan,35,31,31,230.15252553878,-39.84341010557,230.15252553878,-39.84341010557
5,LC,DCEP,,FUNDAMENTAL,,369295551293819386,5993790074645845888,28.76646192,6.9193E-4,nan,nan,nan,nan,nan,nan,1625.46742398,9.7854E-4,1625.28095384,9.7854E-4,1625.97539468,9.7854E-4,12.9648,1.0E-4,13.9045,8.0E-4,11.994,4.0E-4,0.785119,4.89E-4,0.990117,0.004813,0.686836,0.002527,nan,nan,0.50592,9.4E-4,0.18208,8.1E-4,5.60756,9.9E-4,3.98313,0.00558,36,32,34,245.0076761047,-40.97018225036,245.0076761047,-40.97018225036
6,LC,DCEP,,FUNDAMENTAL,,369295551293819386,6020749786201756288,2.72319616,1.05E-5,nan,nan,nan,nan,nan,nan,1702.97698059,1.485E-5,1703.05905984,1.485E-5,1703.08653857,1.485E-5,16.6551,4.0E-4,17.6059,0.0031,15.6705,0.0018,0.902535,0.002043,1.117811,0.019808,0.78909,0.007998,0.07,0.22,0.37043,0.0025,0.18264,0.00181,5.15207,0.00425,3.33887,0.00977,35,32,32,250.31988155926,-35.66912918608,250.31988155926,-35.66912918608
7,LC,DCEP,,FIRST_OVERTONE,,369295551293819386,6007797474808044800,nan,nan,1.42229757,1.62E-6,nan,nan,nan,nan,1703.31069484,2.29E-6,1703.28988635,2.29E-6,1703.25407238,2.29E-6,15.7206,0.0019,15.8812,0.0673,15.2362,0.0055,0.939406,0.00257,1.349798,0.152348,0.670796,0.011063,nan,nan,0.3546,0.00261,nan,nan,3.49172,0.00664,nan,nan,17,13,16,230.7061823792,-35.79254875849,230.7061823792,-35.79254875849
8,LC,T2CEP,BL_HER,NOT_APPLICABLE,,369295551293819386,2162679246615275264,2.1130485,9.39E-6,nan,nan,nan,nan,nan,nan,1763.10778092,1.329E-5,1763.17414136,1.329E-5,1763.19891002,1.329E-5,16.2791,5.0E-4,17.2273,0.0057,15.2732,0.0018,0.594911,0.002588,0.626916,0.034242,0.407582,0.01142,nan,nan,0.43586,0.00275,0.19884,0.0027,4.22009,0.00698,2.69568,0.01884,32,28,29,315.66754575618,45.09279511507,315.66754575618,45.09279511507
9,LC,DCEP,,FUNDAMENTAL,,369295551293819386,2070224337474904064,10.14797047,1.7475E-4,nan,nan,nan,nan,nan,nan,1739.93298599,2.4714E-4,1740.38277072,2.4714E-4,1740.35926513,2.4714E-4,9.418,2.0E-4,10.4824,4.0E-4,8.4189,4.0E-4,0.380223,6.9E-4,0.484136,0.001616,0.321824,0.002255,nan,nan,0.21574,0.0021,nan,nan,5.7105,0.0077,nan,nan,25,25,25,311.49912676475,45.30693518844,311.49912676475,45.30693518844
10,LC,DCEP,,FUNDAMENTAL,,369295551293819386,2037911752331602176,41.2693775,6.4371E-4,nan,nan,nan,nan,nan,nan,1649.62688364,9.1035E-4,1663.64582015,9.1035E-4,1661.64825941,9.1035E-4,9.9726,2.0E-4,10.4884,2.0E-4,9.4188,1.0E-4,1.111793,0.001016,0.865779,8.06E-4,0.633591,7.08E-4,nan,nan,0.36806,7.1E-4,0.4277,7.6E-4,5.71725,0.00175,4.58603,0.00225,34,32,31,289.58147667686,27.85083961828,289.58147667686,27.85083961828
