HIP,RAhms,DEdms,Vmag,Plx,e_Plx,Type,Period,u_Period,distance
8,00 00 06.55,+25 53 11.3,9.05,5.17,1.95,M,320.0,,193.4236
40,00 00 29.27,+67 13 00.4,10.61,-3.4,4.25,EA:,4.39754,nan,-294.11765
43,00 00 30.98,+59 33 35.1,6.18,7.63,0.6,VAR:,nan,,131.0616
63,00 00 43.62,+45 15 12.0,6.36,4.81,0.71,ACV,3.73975,,207.9002
76,00 00 54.77,+32 49 32.4,9.03,2.29,1.19,LB:,nan,,436.68124
99,00 01 15.84,+60 21 19.1,7.04,1.27,0.7,SRB,186.0,,787.4016
102,00 01 16.90,-41 29 14.5,7.05,3.0,0.82,VAR,13.18218,,333.33334
107,00 01 20.11,-50 20 14.6,5.53,5.84,0.61,,nan,,171.23288
109,00 01 23.18,+06 47 29.4,7.23,5.33,0.94,DSCTC,0.1652491,,187.61726
124,00 01 37.02,+61 13 22.1,5.58,0.86,0.56,VAR:,nan,,1162.7906
139,00 01 46.87,+67 30 25.1,10.03,1.62,1.45,EA,5.33146,,617.28394
145,00 01 49.44,-03 01 38.9,5.13,7.98,0.71,,nan,,125.313286
154,00 01 57.59,-06 00 50.3,4.37,7.86,0.94,SR,nan,,127.22646
159,00 02 02.59,-02 45 58.2,6.93,16.92,0.81,GDOR,0.5432,,59.101654
178,00 02 16.27,-27 08 06.6,7.97,9.02,2.5,,nan,,110.86474
181,00 02 17.72,+60 42 11.5,6.77,2.51,0.64,SRB,41.8,nan,398.40637
215,00 02 41.88,+75 02 10.3,9.26,3.49,0.94,LB:,nan,,286.53296
226,00 02 48.07,-24 56 42.9,10.3,0.63,1.67,RRAB/BL,0.4933549,,1587.3016
232,00 02 55.21,-30 08 59.2,8.43,5.18,1.11,,nan,,193.0502
247,00 03 03.73,+08 15 41.1,9.19,6.08,1.68,EA,2.2604,,164.4737
262,00 03 18.19,+32 50 45.1,9.04,4.31,1.25,EA,4.122834,,232.01857
270,00 03 24.01,+73 10 28.2,7.36,4.7,0.63,EA,2.086835,,212.76596
274,00 03 25.72,+63 38 25.9,6.24,0.93,0.57,ACYG,2.88085,,1075.2688
279,00 03 27.31,+62 21 28.1,8.69,0.81,0.87,VAR,1.62798,,1234.5679
281,00 03 30.28,+55 03 35.8,8.45,2.88,1.1,VAR,0.09021,,347.2222
283,00 03 30.52,+12 21 24.6,7.45,4.99,0.99,VAR,0.16217,,200.40082
291,00 03 37.09,-28 25 01.7,8.21,1.46,1.04,ACV,1.53207,,684.9315
292,00 03 38.09,+70 18 21.7,8.11,2.92,0.79,VAR,2.65322,,342.46576
302,00 03 51.63,+66 42 43.9,6.31,3.31,0.6,SRB,22.04,,302.1148
316,00 04 00.24,+12 08 45.0,7.26,5.48,1.25,DSCT,0.1700882,,182.48175
320,00 04 05.10,-16 59 51.5,12.14,6.48,4.13,RRAB/BL:,0.6060736,,154.32098
327,00 04 11.08,-04 55 34.0,9.56,2.04,1.28,DSCT,0.082927,,490.19608
328,00 04 11.89,-30 08 05.7,7.09,4.24,0.92,ELL:,nan,,235.84908
333,00 04 15.13,-17 25 29.5,9.05,5.54,1.44,DSCT,0.016644,,180.50542
336,00 04 15.98,+65 09 10.7,7.59,1.47,0.77,LB,nan,,680.2721
344,00 04 20.08,+40 06 35.8,10.66,6.82,2.4,M,313.0,,146.62756
355,00 04 30.12,-10 30 34.2,4.99,2.03,0.93,VAR,0.08911,,492.61084
363,00 04 36.41,+43 33 04.7,8.12,2.15,1.05,LC,nan,,465.11627
365,00 04 36.60,+42 05 33.2,6.11,1.94,1.12,,nan,,515.4639
376,00 04 41.18,+06 31 21.3,8.37,4.04,1.18,,nan,,247.52475
386,00 04 48.95,+68 11 19.3,9.1,-0.59,1.02,IA,nan,,-1694.9153
390,00 04 50.82,+50 14 05.6,11.67,4.86,2.61,DCEP,9.153375,,205.7613
406,00 04 58.54,+26 43 30.9,8.63,1.67,1.1,,nan,,598.8024
418,00 05 06.13,+61 18 50.3,5.8,4.5,0.56,ACV,6.4322,,222.22223
437,00 05 17.88,+48 28 37.9,8.3,3.18,1.04,BY:,nan,,314.4654
443,00 05 20.15,-05 42 28.2,4.61,25.38,1.05,RS,72.93,,39.401104
457,00 05 28.03,-42 53 14.6,7.47,2.01,0.96,SRB:,nan,,497.51245
458,00 05 28.23,-07 39 55.2,6.97,3.07,0.93,VAR,0.08738,,325.7329
470,00 05 36.95,+43 24 05.2,8.47,0.47,0.94,,nan,,2127.6597
