ID,P,logP,V,I,K,B-V,E(B-V),A_v,A_k,plx
l_Car,35.551341,1.5509,3.732,2.557,1.071,1.299,0.17,0.52,0.06,1.9842
zeta_Gem,10.15073,1.0065,3.911,3.085,2.097,0.798,0.018,0.06,0.01,3.0729
beta_Dor,9.842425,0.9931,3.751,2.943,1.944,0.807,0.044,0.25,0.03,2.9308
W_Sgr,7.594904,0.8805,4.667,3.862,2.796,0.746,0.111,0.37,0.04,2.365
X_Sgr,7.012877,0.8459,4.556,3.661,2.557,0.739,0.197,0.58,0.07,2.8057
Y_Sgr,5.77338,0.7614,5.743,4.814,3.582,0.856,0.205,0.67,0.07,1.9748
delta_Cep,5.36627,0.7297,3.960,3.204,2.310,0.657,0.092,0.23,0.03,3.5551
FF_Aql,4.470916,0.6504,5.372,4.510,3.465,0.756,0.224,0.64,0.08,1.9057
T_Vul,4.435462,0.6469,5.752,5.052,4.187,0.635,0.064,0.34,0.02,1.6885
RT_Aur,3.72819,0.5715,5.464,4.778,3.925,0.595,0.051,0.20,0.02,1.8153
