ID,Planet,Satellite,Code,Ephemeris,Frame,Epoch(TDB),a(km),e,ω(deg),M(deg),i(deg),node(deg),P(days),Papsis(yr),Pnode(yr),R.A.(deg),Dec.(deg),Tilt(deg),Ref.
83,Saturn,Mimas,601,SAT441,Laplace,2000-01-01.5,186000.0,0.02,160.4,275.3,1.6,66.2,0.942422,0.493,0.986,40.6,83.5,0.0,28.0
84,Saturn,Enceladus,602,SAT441,Laplace,2000-01-01.5,238400.0,0.005,119.5,57.0,0.0,0.0,1.370218,2.916,0.0,40.6,83.5,0.0,28.0
85,Saturn,Tethys,603,SAT441,Laplace,2000-01-01.5,295000.0,0.001,335.3,0.0,1.1,273.0,1.887802,0.005,4.982,40.6,83.5,0.0,28.0
86,Saturn,Dione,604,SAT441,Laplace,2000-01-01.5,377700.0,0.002,116.0,212.0,0.0,0.0,2.736916,11.698,0.0,40.6,83.5,0.0,28.0
87,Saturn,Rhea,605,SAT441,Laplace,2000-01-01.5,527200.0,0.001,44.3,31.5,0.3,133.7,4.517503,33.939,35.775,40.6,83.5,0.0,28.0
88,Saturn,Titan,606,SAT441,Laplace,2000-01-01.5,1221900.0,0.029,78.3,11.7,0.3,78.6,15.945448,346.680,687.37,36.4,84.0,0.6,28.0
89,Saturn,Hyperion,607,SAT441,Laplace,2000-01-01.5,1481500.0,0.105,214.0,122.9,0.6,87.1,21.276658,20.843,257.625,40.2,83.6,0.1,28.0
90,Saturn,Iapetus,608,SAT441,Laplace,2000-01-01.5,3561700.0,0.028,254.5,74.8,7.6,86.5,79.331002,1662.900,3130.302,288.7,78.9,14.8,28.0
91,Saturn,Phoebe,609,SAT441,Laplace,2000-01-01.5,12929400.0,0.164,240.3,308.0,175.2,192.7,550.30391,468.321,741.483,276.0,67.5,26.7,28.0
92,Saturn,Helene,612,SAT441,Laplace,2000-01-01.5,377600.0,0.007,194.3,-64.5,0.2,260.8,2.736916,5.825,11.707,40.6,83.5,0.0,28.0
93,Saturn,Telesto,613,SAT441,Laplace,2000-01-01.5,295000.0,0.001,66.2,360.0,1.2,242.1,1.887802,0.005,4.982,40.6,83.5,0.0,28.0
94,Saturn,Calypso,614,SAT441,Laplace,2000-01-01.5,295000.0,0.001,221.6,-0.0,1.5,326.6,1.887803,0.005,4.983,40.6,83.5,0.0,28.0
95,Saturn,Methone,632,SAT441,Laplace,2000-01-01.5,194700.0,0.002,315.5,0.0,0.0,0.0,1.009549,0.003,0.0,40.6,83.5,0.0,28.0
96,Saturn,Polydeuces,634,SAT441,Laplace,2000-01-01.5,377600.0,0.019,94.1,359.0,0.2,167.5,2.736916,5.810,11.692,40.6,83.5,0.0,28.0
97,Saturn,Janus,610,SAT415,Laplace,2000-01-01.5,151500.0,0.007,11.1,111.7,0.2,159.9,0.697353,0.240,0.482,40.6,83.5,0.0,13.0
98,Saturn,Epimetheus,611,SAT415,Laplace,2000-01-01.5,151400.0,0.02,96.3,197.2,0.3,189.8,0.697012,0.240,0.482,40.6,83.5,0.0,13.0
99,Saturn,Atlas,615,SAT415,Laplace,2000-01-01.5,137700.0,0.001,82.3,289.1,0.0,0.0,0.604602,0.342,0.0,40.6,83.5,0.0,13.0
100,Saturn,Prometheus,616,SAT415,Laplace,2000-01-01.5,139400.0,0.002,341.9,135.4,0.0,0.0,0.615878,0.357,0.0,40.6,83.5,0.0,13.0
101,Saturn,Pandora,617,SAT415,Laplace,2000-01-01.5,141700.0,0.004,217.9,123.9,0.0,0.0,0.631369,0.379,0.0,40.6,83.5,0.0,13.0
102,Saturn,Pan,618,SAT415,Laplace,2000-01-01.5,133600.0,0.0,0.0,146.6,0.0,0.0,0.575051,0.000,0.0,40.6,83.5,0.0,13.0
103,Saturn,Pallene,633,SAT415,Laplace,2000-01-01.5,212300.0,0.004,194.9,2.0,0.2,304.3,1.156059,0.790,1.582,40.6,83.5,0.0,13.0
104,Saturn,Daphnis,635,SAT415,Laplace,2000-01-01.5,136500.0,0.0,0.0,153.6,0.0,0.0,0.59408,0.000,0.0,40.6,83.5,0.0,13.0
105,Saturn,Anthe,649,SAT415,Laplace,2000-01-01.5,198100.0,0.002,293.4,351.4,0.0,0.0,1.038898,1.190,0.0,40.6,83.5,0.0,13.0
106,Saturn,Aegaeon,653,SAT415,Laplace,2000-01-01.5,167500.0,0.0,0.0,4.4,0.0,0.0,0.808115,0.000,0.0,40.6,83.5,0.0,13.0
107,Saturn,Ymir,619,SAT368,ecliptic,2000-01-01.0,23128000.0,0.334,21.4,228.7,173.5,192.9,1319.847106,217.606,277.534,,,,8.0
108,Saturn,Paaliaq,620,SAT368,ecliptic,2000-01-01.0,15166000.0,0.341,238.7,321.3,44.8,327.7,686.551363,583.251,486.873,,,,8.0
109,Saturn,Tarvos,621,SAT368,ecliptic,2000-01-01.0,18243000.0,0.538,274.1,265.8,33.7,102.5,929.854258,194.175,272.966,,,,8.0
110,Saturn,Ijiraq,622,SAT368,ecliptic,2000-01-01.0,11408000.0,0.272,92.9,17.3,47.5,130.8,450.782015,13807.368,935.122,,,,8.0
111,Saturn,Suttungr,623,SAT368,ecliptic,2000-01-01.0,19468000.0,0.114,34.3,321.1,175.8,227.3,1019.311883,292.788,402.196,,,,8.0
112,Saturn,Kiviuq,624,SAT368,ecliptic,2000-01-01.0,11343000.0,0.212,90.6,171.0,48.6,352.5,448.424418,2081.871,1226.025,,,,8.0
113,Saturn,Mundilfari,625,SAT368,ecliptic,2000-01-01.0,18653000.0,0.21,309.7,92.8,167.4,82.9,954.810885,312.235,417.307,,,,8.0
114,Saturn,Albiorix,626,SAT368,ecliptic,2000-01-01.0,16393000.0,0.48,55.9,32.8,34.1,102.5,785.493801,249.881,358.137,,,,8.0
115,Saturn,Skathi,627,SAT368,ecliptic,2000-01-01.0,15635000.0,0.272,203.5,114.7,152.6,286.6,728.504119,474.361,546.689,,,,8.0
116,Saturn,Erriapus,628,SAT368,ecliptic,2000-01-01.0,17602000.0,0.472,282.5,294.8,34.5,151.0,874.171336,219.900,323.492,,,,8.0
117,Saturn,Siarnaq,629,SAT368,ecliptic,2000-01-01.0,18182000.0,0.28,65.9,201.3,45.8,47.8,895.473525,457.402,454.201,,,,8.0
118,Saturn,Thrymr,630,SAT368,ecliptic,2000-01-01.0,20418000.0,0.466,125.4,30.1,177.7,285.8,1095.728301,875.105,139002.086,,,,8.0
119,Saturn,Narvi,631,SAT368,ecliptic,2000-01-01.0,19349000.0,0.43,170.0,114.2,145.7,174.4,1004.080178,341.382,347.424,,,,8.0
120,Saturn,Aegir,636,SAT368,ecliptic,2000-01-01.0,20751000.0,0.252,242.7,26.0,166.7,179.1,1120.556732,273.907,350.178,,,,8.0
121,Saturn,Bebhionn,637,SAT368,ecliptic,2000-01-01.0,17116000.0,0.468,358.1,168.0,35.1,199.1,837.352482,236.566,342.055,,,,8.0
122,Saturn,Bergelmir,638,SAT368,ecliptic,2000-01-01.0,19336000.0,0.142,133.4,306.5,158.6,202.2,1006.939808,359.700,424.95,,,,8.0
123,Saturn,Bestla,639,SAT368,ecliptic,2000-01-01.0,20145000.0,0.52,81.1,238.5,145.2,288.3,1088.578685,284.704,298.948,,,,8.0
124,Saturn,Farbauti,640,SAT368,ecliptic,2000-01-01.0,20390000.0,0.241,343.0,282.8,156.5,135.1,1087.792115,330.766,374.342,,,,8.0
125,Saturn,Fenrir,641,SAT368,ecliptic,2000-01-01.0,22454000.0,0.135,121.0,131.7,165.0,226.6,1263.011038,276.774,332.99,,,,8.0
126,Saturn,Fornjot,642,SAT368,ecliptic,2000-01-01.0,25146000.0,0.208,324.8,214.5,170.4,259.9,1498.571662,223.680,267.438,,,,8.0
127,Saturn,Hati,643,SAT368,ecliptic,2000-01-01.0,19868000.0,0.371,21.3,163.6,165.8,324.4,1042.75458,262.481,339.975,,,,8.0
128,Saturn,Hyrrokkin,644,SAT368,ecliptic,2000-01-01.0,18440000.0,0.336,273.1,291.8,151.5,45.4,932.347313,375.760,406.454,,,,8.0
129,Saturn,Kari,645,SAT368,ecliptic,2000-01-01.0,22093000.0,0.476,163.9,286.0,156.1,281.2,1233.961504,228.813,270.062,,,,8.0
130,Saturn,Loge,646,SAT368,ecliptic,2000-01-01.0,23059000.0,0.186,32.8,337.2,167.7,343.8,1314.760074,251.724,307.347,,,,8.0
131,Saturn,Skoll,647,SAT368,ecliptic,2000-01-01.0,17667000.0,0.464,193.1,45.0,161.0,296.6,879.826049,286.718,369.108,,,,8.0
132,Saturn,Surtur,648,SAT368,ecliptic,2000-01-01.0,22941000.0,0.446,303.7,136.2,169.7,236.5,1302.093853,202.948,259.657,,,,8.0
133,Saturn,Jarnsaxa,650,SAT368,ecliptic,2000-01-01.0,19354000.0,0.218,237.4,198.7,163.6,22.5,1008.831893,312.482,396.923,,,,8.0
134,Saturn,Greip,651,SAT368,ecliptic,2000-01-01.0,18457000.0,0.315,152.2,314.5,174.8,349.4,939.491598,280.231,385.899,,,,8.0
135,Saturn,Tarqeq,652,SAT368,ecliptic,2000-01-01.0,17962000.0,0.168,34.8,161.0,46.3,83.3,883.929303,896.594,593.128,,,,8.0
