wav,rprs
 0.27333,0.1189632
 0.27410,0.1189583
 0.27487,0.1189535
 0.27564,0.1189486
 0.27641,0.1189437
 0.27718,0.1189389
 0.27795,0.1189341
 0.27872,0.1189292
 0.27949,0.1189244
 0.28026,0.1189196
 0.28103,0.1189149
 0.28180,0.1189101
 0.28257,0.1189053
 0.28334,0.1189006
 0.28411,0.1188959
 0.28488,0.1188912
 0.28565,0.1188865
 0.28642,0.1188818
 0.28719,0.1188771
 0.28796,0.1188724
 0.28873,0.1188678
 0.28950,0.1188632
 0.29027,0.1188585
 0.29104,0.1188539
 0.29181,0.1188493
 0.29258,0.1188447
 0.29335,0.1188401
 0.29412,0.1188356
 0.29489,0.1188310
 0.29566,0.1188265
 0.29643,0.1188220
 0.29720,0.1188174
 0.29797,0.1188129
 0.29874,0.1188084
 0.29951,0.1188040
 0.30028,0.1187995
 0.30105,0.1187950
 0.30182,0.1187906
 0.30259,0.1187861
 0.30336,0.1187817
 0.30413,0.1187773
 0.30490,0.1187729
 0.30567,0.1187685
 0.30644,0.1187641
 0.30721,0.1187598
 0.30798,0.1187554
 0.30875,0.1187510
 0.30952,0.1187467
 0.31029,0.1187424
 0.31106,0.1187381
 0.31183,0.1187338
 0.31260,0.1187295
 0.31337,0.1187252
 0.31414,0.1187209
 0.31491,0.1187166
 0.31568,0.1187124
 0.31645,0.1187081
 0.31722,0.1187039
 0.31799,0.1186997
 0.31876,0.1186955
 0.31953,0.1186913
 0.32030,0.1186871
 0.32107,0.1186829
 0.32184,0.1186787
 0.32261,0.1186746
 0.32338,0.1186704
 0.32415,0.1186663
 0.32492,0.1186621
 0.32569,0.1186580
 0.32646,0.1186539
 0.32723,0.1186498
 0.32800,0.1186457
 0.32877,0.1186416
 0.32954,0.1186376
 0.33031,0.1186335
 0.33108,0.1186294
 0.33185,0.1186254
 0.33262,0.1186214
 0.33339,0.1186173
 0.33416,0.1186133
 0.33493,0.1186093
 0.33570,0.1186053
 0.33647,0.1186013
 0.33724,0.1185973
 0.33801,0.1185934
 0.33878,0.1185894
 0.33955,0.1185855
 0.34032,0.1185815
 0.34109,0.1185776
 0.34186,0.1185736
 0.34263,0.1185697
 0.34340,0.1185658
 0.34417,0.1185619
 0.34494,0.1185580
 0.34571,0.1185541
 0.34648,0.1185503
 0.34725,0.1185464
 0.34802,0.1185425
 0.34879,0.1185387
 0.34956,0.1185349
 0.35031,0.1185316
 0.35104,0.1185280
 0.35177,0.1185243
 0.35250,0.1185208
 0.35323,0.1185174
 0.35397,0.1185139
 0.35471,0.1185104
 0.35544,0.1185068
 0.35618,0.1185033
 0.35692,0.1184997
 0.35766,0.1184960
 0.35841,0.1184924
 0.35915,0.1184887
 0.35990,0.1184852
 0.36065,0.1184817
 0.36140,0.1184783
 0.36215,0.1184748
 0.36290,0.1184712
 0.36366,0.1184677
 0.36441,0.1184641
