wav,rprs
 0.27311,0.1583182
 0.27344,0.1583153
 0.27377,0.1583124
 0.27410,0.1583095
 0.27443,0.1583066
 0.27476,0.1583037
 0.27509,0.1583009
 0.27542,0.1582980
 0.27575,0.1582951
 0.27608,0.1582922
 0.27641,0.1582894
 0.27674,0.1582865
 0.27707,0.1582837
 0.27740,0.1582808
 0.27773,0.1582780
 0.27806,0.1582751
 0.27839,0.1582723
 0.27872,0.1582694
 0.27905,0.1582666
 0.27938,0.1582638
 0.27971,0.1582609
 0.28004,0.1582581
 0.28037,0.1582553
 0.28070,0.1582525
 0.28103,0.1582497
 0.28136,0.1582469
 0.28169,0.1582440
 0.28202,0.1582412
 0.28235,0.1582384
 0.28268,0.1582356
 0.28301,0.1582328
 0.28334,0.1582300
 0.28367,0.1582273
 0.28400,0.1582245
 0.28433,0.1582217
 0.28466,0.1582189
 0.28499,0.1582161
 0.28532,0.1582134
 0.28565,0.1582106
 0.28598,0.1582078
 0.28631,0.1582051
 0.28664,0.1582023
 0.28697,0.1581995
 0.28730,0.1581968
 0.28763,0.1581940
 0.28796,0.1581913
 0.28829,0.1581885
 0.28862,0.1581858
 0.28895,0.1581831
 0.28928,0.1581803
 0.28961,0.1581776
 0.28994,0.1581749
 0.29027,0.1581722
 0.29060,0.1581694
 0.29093,0.1581667
 0.29126,0.1581640
 0.29159,0.1581613
 0.29192,0.1581586
 0.29225,0.1581559
 0.29258,0.1581532
 0.29291,0.1581505
 0.29324,0.1581478
 0.29357,0.1581451
 0.29390,0.1581424
 0.29423,0.1581397
 0.29456,0.1581370
 0.29489,0.1581343
 0.29522,0.1581316
 0.29555,0.1581290
 0.29588,0.1581263
 0.29621,0.1581236
 0.29654,0.1581210
 0.29687,0.1581183
 0.29720,0.1581156
 0.29753,0.1581130
 0.29786,0.1581103
 0.29819,0.1581076
 0.29852,0.1581050
 0.29885,0.1581024
 0.29918,0.1580997
 0.29951,0.1580971
 0.29984,0.1580944
 0.30017,0.1580918
 0.30050,0.1580892
 0.30083,0.1580865
 0.30116,0.1580839
 0.30149,0.1580813
 0.30182,0.1580787
 0.30215,0.1580760
 0.30248,0.1580734
 0.30281,0.1580708
 0.30314,0.1580682
 0.30347,0.1580656
 0.30380,0.1580630
 0.30413,0.1580604
 0.30446,0.1580578
 0.30479,0.1580552
 0.30512,0.1580526
 0.30545,0.1580500
 0.30578,0.1580474
 0.30611,0.1580449
 0.30644,0.1580423
