wav,rprs
 0.27333,0.1412097
 0.27410,0.1412033
 0.27487,0.1411969
 0.27564,0.1411904
 0.27641,0.1411840
 0.27718,0.1411777
 0.27795,0.1411713
 0.27872,0.1411650
 0.27949,0.1411586
 0.28026,0.1411523
 0.28103,0.1411460
 0.28180,0.1411398
 0.28257,0.1411335
 0.28334,0.1411273
 0.28411,0.1411210
 0.28488,0.1411148
 0.28565,0.1411086
 0.28642,0.1411025
 0.28719,0.1410963
 0.28796,0.1410902
 0.28873,0.1410841
 0.28950,0.1410780
 0.29027,0.1410719
 0.29104,0.1410658
 0.29181,0.1410597
 0.29258,0.1410537
 0.29335,0.1410477
 0.29412,0.1410416
 0.29489,0.1410356
 0.29566,0.1410297
 0.29643,0.1410237
 0.29720,0.1410177
 0.29797,0.1410118
 0.29874,0.1410059
 0.29951,0.1410000
 0.30028,0.1409941
 0.30105,0.1409882
 0.30182,0.1409824
 0.30259,0.1409765
 0.30336,0.1409707
 0.30413,0.1409649
 0.30490,0.1409591
 0.30567,0.1409533
 0.30644,0.1409476
 0.30721,0.1409418
 0.30798,0.1409360
 0.30875,0.1409303
 0.30952,0.1409246
 0.31029,0.1409189
 0.31106,0.1409132
 0.31183,0.1409076
 0.31260,0.1409019
 0.31337,0.1408963
 0.31414,0.1408906
 0.31491,0.1408850
 0.31568,0.1408794
 0.31645,0.1408738
 0.31722,0.1408683
 0.31799,0.1408627
 0.31876,0.1408572
 0.31953,0.1408516
 0.32030,0.1408461
 0.32107,0.1408406
 0.32184,0.1408351
 0.32261,0.1408296
 0.32338,0.1408242
 0.32415,0.1408187
 0.32492,0.1408133
 0.32569,0.1408078
 0.32646,0.1408024
 0.32723,0.1407970
 0.32800,0.1407916
 0.32877,0.1407863
 0.32954,0.1407809
 0.33031,0.1407755
 0.33108,0.1407702
 0.33185,0.1407649
 0.33262,0.1407596
 0.33339,0.1407543
 0.33416,0.1407490
 0.33493,0.1407437
 0.33570,0.1407384
 0.33647,0.1407332
 0.33724,0.1407279
 0.33801,0.1407227
 0.33878,0.1407175
 0.33955,0.1407123
 0.34032,0.1407071
 0.34109,0.1407019
 0.34186,0.1406967
 0.34263,0.1406916
 0.34340,0.1406864
 0.34417,0.1406813
 0.34494,0.1406762
 0.34571,0.1406710
 0.34648,0.1406659
 0.34725,0.1406609
 0.34802,0.1406558
 0.34879,0.1406507
 0.34956,0.1406457
 0.35031,0.1406417
 0.35104,0.1406377
 0.35177,0.1406338
 0.35250,0.1406298
 0.35323,0.1406258
 0.35397,0.1406217
 0.35471,0.1406176
 0.35544,0.1406135
 0.35618,0.1406094
 0.35692,0.1406053
 0.35766,0.1406013
 0.35841,0.1405974
 0.35915,0.1405934
 0.35990,0.1405893
 0.36065,0.1405853
 0.36140,0.1405812
 0.36215,0.1405770
 0.36290,0.1405729
 0.36366,0.1405689
 0.36441,0.1405649
 0.36517,0.1405610
 0.36593,0.1405569
 0.36669,0.1405529
 0.36746,0.1405488
 0.36822,0.1405447
 0.36898,0.1405405
 0.36975,0.1405365
 0.37052,0.1405325
 0.37129,0.1405286
 0.37206,0.1405246
 0.37284,0.1405205
 0.37361,0.1405164
 0.37439,0.1405123
 0.37517,0.1405082
 0.37595,0.1405041
 0.37673,0.1405001
 0.37751,0.1404961
 0.37830,0.1404922
 0.37908,0.1404881
 0.37987,0.1404841
 0.38066,0.1404800
 0.38145,0.1404759
 0.38225,0.1404717
 0.38304,0.1404677
 0.38384,0.1404637
 0.38464,0.1404598
 0.38544,0.1404558
 0.38624,0.1404517
 0.38704,0.1404477
 0.38785,0.1404435
 0.38865,0.1404394
 0.38946,0.1404353
 0.39027,0.1404313
 0.39108,0.1404274
 0.39190,0.1404234
 0.39271,0.1404194
