wav,rprs
1818.1818182,0.07017053  
645.1612903,0.07028206  
392.1568627,0.07028619  
281.6901408,0.07060177  
219.7802198,0.07065875  
180.1801802,0.07102681  
152.6717557,0.07095915  
132.4503311,0.07137124  
116.9590643,0.07149633  
104.7120419,0.07145807  
94.7867299,0.07177347  
86.5800866,0.07159646  
79.6812749,0.07206513  
73.8007380,0.07224351  
68.7285223,0.07162357  
64.3086817,0.07262368  
60.4229607,0.07169470  
56.9800570,0.07252337  
53.9083558,0.07183252  
51.1508951,0.07232237  
48.6618005,0.07223690  
46.4037123,0.07232075  
44.3458980,0.07230640  
42.4628450,0.07200911  
40.7331976,0.07254908  
39.1389432,0.07198165  
37.6647834,0.07215631  
36.2976407,0.07211425  
35.0262697,0.07238969  
33.8409475,0.07166619  
32.7332242,0.07232469  
31.6957211,0.07152520  
30.7219662,0.07239537  
29.8062593,0.07178198  
28.9435601,0.07173544  
28.1293952,0.07243323  
27.3597811,0.07140462  
26.6311585,0.07199784  
25.9403372,0.07157274  
25.2844501,0.07215284  
24.6609125,0.07178533  
24.0673887,0.07170343  
23.5017626,0.07175658  
22.9621125,0.07156611  
22.4466891,0.07190814  
21.9538968,0.07170462  
21.4822771,0.07169504  
21.0304942,0.07173067  
20.5973223,0.07151470  
20.1816347,0.07147583  
19.7823937,0.07160125  
19.3986421,0.07179057  
19.0294957,0.07136163  
18.6741363,0.07159936  
18.3318057,0.07123271  
18.0018002,0.07138933  
17.6834660,0.07130904  
17.3761946,0.07135752  
17.0794193,0.07131657  
16.7926113,0.07118542  
16.5152766,0.07141103  
16.2469537,0.07116288  
15.9872102,0.07125216  
15.7356412,0.07119189  
15.4918668,0.07116910  
15.2555301,0.07108924  
15.0262960,0.07102115  
14.8038490,0.07113446  
14.5878920,0.07113310  
14.3781452,0.07107702  
14.1743444,0.07105348  
13.9762404,0.07096919  
13.7835975,0.07096779  
13.5961931,0.07088300  
13.4138162,0.07096329  
13.2362674,0.07093838  
13.0633573,0.07081079  
12.8949065,0.07080679  
12.7307447,0.07086203  
12.5707102,0.07091678  
12.4146493,0.07085199  
12.2624157,0.07072352  
12.1138704,0.07066413  
11.9688809,0.07071817  
11.8273211,0.07072365  
11.6890707,0.07082513  
11.5540150,0.07058820  
11.4220445,0.07057362  
11.2930548,0.07062908  
11.1669458,0.07066455  
11.0436223,0.07069200  
10.9229929,0.07073966  
10.8049703,0.07056201  
10.6894709,0.07054299  
10.5764146,0.07070845  
10.4657248,0.07067029  
10.3573278,0.07070373  
10.2511533,0.07061064  
10.1471334,0.07047753  
10.0452034,0.07065585  
 9.9453008,0.07058037  
 9.8473658,0.07084156  
 9.7513408,0.07060507  
 9.6571704,0.07071574  
 9.5648015,0.07066959  
 9.4741829,0.07086273  
 9.3852651,0.07079556  
 9.2980009,0.07088845  
 9.2123445,0.07086275  
 9.1282519,0.07094041  
 9.0456807,0.07094872  
 8.9645899,0.07111266  
 8.8849400,0.07107701  
 8.8066931,0.07126589  
 8.7298123,0.07131896  
 8.6542622,0.07130528  
 8.5800086,0.07143817  
 8.5070183,0.07156497  
 8.4352594,0.07149618  
 8.3647010,0.07187960  
 8.2953131,0.07184190  
 8.2270671,0.07188542  
 8.1599347,0.07184554  
 8.0938891,0.07184924  
 8.0289041,0.07201923  
 7.9649542,0.07205319  
 7.9020150,0.07224415  
 7.8400627,0.07217780  
 7.7790743,0.07231194  
 7.7190274,0.07242903  
 7.6599004,0.07203881  
 7.6016724,0.07235174  
 7.5443229,0.07210269  
 7.4878323,0.07221446  
 7.4321813,0.07229520  
 7.3773515,0.07216064  
 7.3233248,0.07236935  
 7.2700836,0.07232031  
 7.2176110,0.07220723  
 7.1658904,0.07209373  
 7.1149057,0.07233267  
 7.0646415,0.07256630  
 7.0150824,0.07229798  
 6.9662139,0.07218284  
 6.9180214,0.07225852  
 6.8704912,0.07263271  
 6.8236097,0.07265852  
 6.7773636,0.07247862  
 6.7317402,0.07250150  
 6.6867268,0.07270785  
 6.6423115,0.07310797  
 6.5984823,0.07290853  
 6.5552278,0.07264552  
 6.5125366,0.07241717  
 6.4703979,0.07242543  
 6.4288010,0.07198900  
 6.3877355,0.07171954  
 6.3471914,0.07144687  
 6.3071586,0.07136323  
 6.2676277,0.07145767  
 6.2285892,0.07158069  
 6.1900340,0.07141060  
 6.1519532,0.07177512  
 6.1143381,0.07176849  
 6.0771802,0.07159667  
 6.0404712,0.07226142  
 6.0042029,0.07181950  
 5.9683677,0.07204755  
 5.9329576,0.07220797  
 5.8979652,0.07224381  
 5.8633832,0.07222869  
 5.8292043,0.07243052  
 5.7954216,0.07207812  
 5.7620282,0.07217368  
 5.7290175,0.07236392  
 5.6963828,0.07222188  
 5.6641178,0.07221764  
 5.6322163,0.07207109  
 5.6006721,0.07208337  
 5.5694793,0.07236069  
 5.5386320,0.07236701  
 5.5081245,0.07202299  
 5.4779512,0.07206852  
 5.4481068,0.07216444  
 5.4185857,0.07240980  
 5.3893829,0.07203713  
 5.3604932,0.07209344  
 5.3319115,0.07200345  
 5.3036330,0.07182741  
 5.2756529,0.07224653  
 5.2479664,0.07200495  
 5.2205690,0.07203058  
 5.1934562,0.07203850  
 5.1666236,0.07204687  
 5.1400668,0.07235028  
 5.1137816,0.07216318  
 5.0877639,0.07197160  
 5.0620096,0.07200172  
 5.0365147,0.07199501  
 5.0112754,0.07239243  
 4.9862877,0.07204813  
 4.9615480,0.07230819  
 4.9370526,0.07222324  
 4.9127978,0.07203805  
 4.8887802,0.07207950  
 4.8649964,0.07235743  
 4.8414427,0.07224682  
 4.8181161,0.07215567  
 4.7950132,0.07212932  
 4.7721308,0.07261601  
 4.7494657,0.07209745  
 4.7270149,0.07230860  
 4.7047753,0.07229744  
 4.6827441,0.07222366  
 4.6609182,0.07194140  
 4.6392948,0.07235490  
 4.6178712,0.07224429  
 4.5966444,0.07210038  
 4.5756120,0.07215258  
 4.5547711,0.07211174  
 4.5341192,0.07221782  
 4.5136538,0.07204186  
 4.4933723,0.07198386  
 4.4732722,0.07187738  
 4.4533511,0.07164330  
 4.4336067,0.07193317  
 4.4140366,0.07132413  
 4.3946385,0.07157161  
 4.3754102,0.07134530  
 4.3563494,0.07121108  
 4.3374539,0.07129334  
 4.3187217,0.07104673  
 4.3001505,0.07115606  
 4.2817384,0.07102073  
 4.2634833,0.07094689  
 4.2453831,0.07108894  
 4.2274361,0.07087038  
 4.2096401,0.07095368  
 4.1919933,0.07083779  
 4.1744938,0.07081651  
 4.1571399,0.07082951  
 4.1399296,0.07066793  
 4.1228613,0.07071555  
 4.1059331,0.07058163  
 4.0891433,0.07056939  
 4.0724903,0.07048961  
 4.0559724,0.07049408  
 4.0395880,0.07038880  
 4.0233353,0.07043809  
 4.0072130,0.07038342  
 3.9912193,0.07036736  
 3.9753528,0.07042970  
 3.9596120,0.07035015  
 3.9439953,0.07038618  
 3.9285013,0.07035927  
 3.9131285,0.07040383  
 3.8978757,0.07039129  
 3.8827412,0.07041134  
 3.8677238,0.07040917  
 3.8528222,0.07040662  
 3.8380349,0.07042650  
 3.8233607,0.07047434  
 3.8087983,0.07047465  
 3.7943464,0.07045309  
 3.7800038,0.07046492  
 3.7657692,0.07051449  
 3.7516413,0.07050505  
 3.7376191,0.07057207  
 3.7237014,0.07049834  
 3.7098868,0.07058557  
 3.6961745,0.07058657  
 3.6825631,0.07062982  
 3.6690516,0.07066905  
 3.6556388,0.07070922  
 3.6423238,0.07074006  
 3.6291054,0.07078414  
 3.6159826,0.07084664  
 3.6029544,0.07094190  
 3.5900197,0.07085938  
 3.5771776,0.07097652  
 3.5644270,0.07114979  
 3.5517670,0.07105264  
 3.5391966,0.07129716  
 3.5267149,0.07116189  
 3.5143209,0.07131407  
 3.5020137,0.07130152  
 3.4897924,0.07154357  
 3.4776561,0.07141727  
 3.4656039,0.07134843  
 3.4536350,0.07162348  
 3.4417484,0.07167729  
 3.4299434,0.07154288  
 3.4182191,0.07165182  
 3.4065747,0.07164195  
 3.3950093,0.07163410  
 3.3835222,0.07161674  
 3.3721126,0.07160252  
 3.3607797,0.07174885  
 3.3495227,0.07201411  
 3.3383408,0.07215059  
 3.3272334,0.07214328  
 3.3161996,0.07218570  
 3.3052388,0.07164399  
 3.2943502,0.07171832  
 3.2835331,0.07169105  
 3.2727868,0.07172701  
