wav,rprs
 0.30056,0.1440171
 0.30168,0.1439981
 0.30280,0.1439791
 0.30392,0.1439602
 0.30504,0.1439414
 0.30616,0.1439227
 0.30728,0.1439040
 0.30840,0.1438854
 0.30952,0.1438668
 0.31064,0.1438483
 0.31176,0.1438299
 0.31288,0.1438116
 0.31400,0.1437933
 0.31512,0.1437751
 0.31624,0.1437569
 0.31736,0.1437389
 0.31848,0.1437208
 0.31960,0.1437029
 0.32072,0.1436850
 0.32184,0.1436671
 0.32296,0.1436494
 0.32408,0.1436317
 0.32520,0.1436140
 0.32632,0.1435964
 0.32744,0.1435789
 0.32856,0.1435614
 0.32968,0.1435440
 0.33080,0.1435267
 0.33192,0.1435094
 0.33304,0.1434921
 0.33416,0.1434750
 0.33528,0.1434579
 0.33640,0.1434408
 0.33752,0.1434238
 0.33864,0.1434068
 0.33976,0.1433900
 0.34088,0.1433731
 0.34200,0.1433563
 0.34312,0.1433396
 0.34424,0.1433229
 0.34536,0.1433063
 0.34648,0.1432898
 0.34760,0.1432733
 0.34872,0.1432568
 0.34984,0.1432404
 0.35096,0.1432240
 0.35208,0.1432077
 0.35320,0.1431915
 0.35432,0.1431753
 0.35544,0.1431592
 0.35656,0.1431431
 0.35768,0.1431270
 0.35880,0.1431110
 0.35992,0.1430951
 0.36104,0.1430792
 0.36216,0.1430633
 0.36328,0.1430475
 0.36440,0.1430318
 0.36552,0.1430161
 0.36664,0.1430004
 0.36776,0.1429848
 0.36888,0.1429693
 0.37000,0.1429538
 0.37112,0.1429383
 0.37224,0.1429229
 0.37336,0.1429075
 0.37448,0.1428922
 0.37560,0.1428769
 0.37672,0.1428617
 0.37784,0.1428465
 0.37896,0.1428314
 0.38008,0.1428163
 0.38120,0.1428012
 0.38232,0.1427862
 0.38344,0.1427713
 0.38456,0.1427563
 0.38568,0.1427415
 0.38680,0.1427266
 0.38792,0.1427118
 0.38904,0.1426971
 0.39016,0.1426824
 0.39128,0.1426677
 0.39240,0.1426531
 0.39352,0.1426385
 0.39464,0.1426240
 0.39576,0.1426095
 0.39688,0.1425950
 0.39800,0.1425806
 0.39912,0.1425662
 0.40024,0.1425519
 0.40136,0.1425376
 0.40248,0.1425233
 0.40360,0.1425091
 0.40472,0.1424950
 0.40584,0.1424808
 0.40696,0.1424667
 0.40808,0.1424527
 0.40920,0.1424386
 0.41032,0.1424247
 0.41144,0.1424107
 0.41256,0.1423968
 0.41368,0.1423829
 0.41480,0.1423691
 0.41592,0.1423553
 0.41704,0.1423416
 0.41816,0.1423278
 0.41928,0.1423142
 0.42040,0.1423005
 0.42152,0.1422869
 0.42264,0.1422733
 0.42376,0.1422598
 0.42488,0.1422463
 0.42600,0.1422328
 0.42712,0.1422194
 0.42824,0.1422060
 0.42936,0.1421926
 0.43048,0.1421793
 0.43160,0.1421660
 0.43272,0.1421528
 0.43384,0.1421395
 0.43496,0.1421263
 0.43608,0.1421132
 0.43720,0.1421001
 0.43832,0.1420870
 0.43944,0.1420739
 0.44056,0.1420609
 0.44168,0.1420479
 0.44280,0.1420350
 0.44392,0.1420220
 0.44504,0.1420091
 0.44616,0.1419963
 0.44728,0.1419835
 0.44840,0.1419707
 0.44952,0.1419579
 0.45064,0.1419452
 0.45176,0.1419325
 0.45288,0.1419198
 0.45400,0.1419072
 0.45512,0.1418946
 0.45624,0.1418820
 0.45736,0.1418695
 0.45848,0.1418570
 0.45960,0.1418445
 0.46072,0.1418320
 0.46184,0.1418196
 0.46296,0.1418072
 0.46408,0.1417949
 0.46520,0.1417825
 0.46632,0.1417702
 0.46744,0.1417580
 0.46856,0.1417457
 0.46968,0.1417335
 0.47080,0.1417213
 0.47192,0.1417092
 0.47304,0.1416971
 0.47416,0.1416850
 0.47528,0.1416729
 0.47640,0.1416609
 0.47752,0.1416489
 0.47864,0.1416369
 0.47976,0.1416249
 0.48088,0.1416130
 0.48200,0.1416011
 0.48312,0.1415893
 0.48424,0.1415774
 0.48536,0.1415656
 0.48648,0.1415538
 0.48760,0.1415421
 0.48872,0.1415303
 0.48984,0.1415186
 0.49096,0.1415070
 0.49208,0.1414953
 0.49320,0.1414837
 0.49432,0.1414721
 0.49544,0.1414605
 0.49656,0.1414490
 0.49768,0.1414375
 0.49880,0.1414260
 0.49992,0.1414145
 0.50104,0.1414031
 0.50216,0.1413917
 0.50328,0.1413803
 0.50440,0.1413690
 0.50552,0.1413576
 0.50664,0.1413463
 0.50776,0.1413350
 0.50888,0.1413238
 0.51000,0.1413126
 0.51112,0.1413014
 0.51224,0.1412902
 0.51336,0.1412790
 0.51448,0.1412679
 0.51560,0.1412568
 0.51672,0.1412458
 0.51784,0.1412347
 0.51896,0.1412237
 0.52008,0.1412127
 0.52120,0.1412017
 0.52232,0.1411908
 0.52344,0.1411799
 0.52456,0.1411690
 0.52568,0.1411581
 0.52680,0.1411473
 0.52792,0.1411364
 0.52904,0.1411256
 0.53016,0.1411149
 0.53128,0.1411041
 0.53240,0.1410934
