Name,MPC,a,e,i,Omega,omega,lambda,beta,Dist,Epoch
15760,15760,4.3932e+01,6.9363e-02,3.8153e-02,6.2729e+00,4.9794e-02,0.526,0.020,41.185,2456571.9
15807,15807,4.3745e+01,6.1148e-02,9.8437e-03,3.0858e+00,5.3193e+00,-2.768,0.004,43.098,2457104.9
15874,15874,8.3429e+01,5.8016e-01,4.1851e-01,3.8008e+00,3.2213e+00,1.181,-0.230,36.692,2457036.8
15883,15883,4.7028e+01,2.1283e-01,3.3426e-01,2.2198e+00,5.2496e+00,2.701,0.165,44.661,2456365.9
16684,16684,4.4075e+01,4.9569e-02,6.5345e-02,4.4756e-01,4.3893e+00,-2.480,-0.015,42.862,2452052.6
19255,19255,4.2779e+01,3.3422e-02,2.5970e-02,1.2633e+00,2.0247e+00,1.526,0.007,42.983,2457422.8
19308,19308,4.3293e+01,1.1905e-01,4.7866e-01,6.1998e+00,4.1969e+00,0.267,0.187,47.171,2457000.8
19521,19521,4.5730e+01,1.0345e-01,2.1007e-01,8.7233e-01,1.0026e+00,1.194,0.070,41.844,2454448.9
20000,20000,4.2948e+01,5.3923e-02,2.9976e-01,1.6982e+00,4.6651e+00,2.053,0.111,43.793,2457422.1
24835,24835,4.1796e+01,1.0452e-01,4.7202e-01,3.6716e-01,1.2432e+00,0.842,0.242,38.276,2457018.9
24978,24978,4.3318e+01,4.8871e-02,4.1766e-02,8.8019e-01,2.2099e+00,-2.156,-0.005,42.177,2452792.7
33001,33001,4.3443e+01,3.8043e-02,2.5412e-02,6.1126e+00,4.6883e+00,2.342,0.015,44.346,2457044.9
45802,45802,4.3430e+01,1.1627e-02,2.0560e-02,3.0255e+00,1.0386e+00,-0.892,0.015,43.294,2452433.0
49673,49673,4.3136e+01,1.0342e-01,3.9319e-01,2.3093e+00,4.7067e+00,-0.491,-0.147,41.061,2456571.7
52747,52747,4.4396e+01,5.9487e-02,9.5295e-03,1.1164e+00,4.3412e+00,-1.985,0.000,43.211,2453152.8
53311,53311,4.4072e+01,6.2066e-02,6.4403e-03,8.9645e-01,4.2198e+00,-2.384,0.001,42.987,2456772.9
