BJD,RV,ERV
2452927.9841,28414.81,2.18
2452927.9867,28411.43,1.14
2452929.97611,28382.75,1.31
2452929.97871,28380.66,2.35
2452931.98418,28324.34,2.74
2452931.98678,28321.18,2.58
2452932.96631,28297.86,1.6
2452932.9689,28296.54,1.81
2452934.94307,28270.68,1.86
2452934.94573,28271.45,2.5
2452948.91072,28291.09,4.19
2452948.91334,28294.15,2.85
2452949.92004,28288.13,2.99
2452949.92265,28289.77,1.75
2452953.92197,28376.38,3.12
2452953.92458,28378.25,4.9
2452954.90573,28395.11,3.43
2452954.90833,28392.99,2.89
2452958.88866,28411.16,3.2
2452958.89126,28391.27,3.72
2452958.89386,28417.08,3.25
2452958.89646,28412.49,3.06
2452958.90715,28423.24,4.29
2452959.91036,28373.97,1.66
2452959.91297,28371.59,1.52
2452963.87305,28279.04,1.23
2452963.87567,28277.63,2.96
2452965.8596,28281.11,3.39
2452965.86221,28278.04,3.79
2452981.83255,28324.52,1.73
2452981.83515,28320.66,2.37
2452983.81987,28378.45,2.68
2452983.82248,28379.13,2.93
2452984.82449,28411.06,2.73
2452984.82709,28404.66,2.35
2452987.02527,28434.75,3.2
2452987.02787,28434.11,3.93
2452988.02409,28408.56,2.25
2452988.02669,28411.34,2.47
2452988.81814,28394.9,1.6
2452988.82074,28399.93,3.6
2452991.02664,28326.68,1.9
2452991.02925,28324.81,3.56
2452993.79471,28289.81,2.48
2452993.79731,28285.09,2.43
2452994.78929,28286.79,2.6
2452994.7919,28290.2,3.12
2452995.02152,28304.59,4.08
2452995.02413,28304.95,3.83
2452995.80105,28316.52,1.79
2452995.80365,28318.34,4.59
2452998.0192,28380.59,3.16
2452998.02181,28397.15,7.12
2452998.78429,28407.54,5.83
2452998.78686,28404.24,8.71
2452998.78981,28408.15,5.13
2452999.01205,28400.38,4.01
2452999.01465,28403.91,2.0
2452999.76905,28417.24,4.32
2452999.77162,28417.97,3.27
2452999.99725,28426.52,1.36
2452999.99986,28425.58,3.48
2453000.77578,28432.02,4.38
