BJD,RV,ERV
2453482.9644,2.1,0.73
2453483.96117,5.56,0.6
2453485.07996,3.54,0.59
2453486.04514,0.25,0.48
2453488.13906,2.37,0.59
2453489.08696,3.0,0.61
2453516.04043,3.76,0.71
2453521.94298,1.94,0.96
2453569.90141,-4.25,0.83
2453570.94617,-3.47,0.57
2453571.94048,-1.64,0.63
2453573.8703,-2.32,0.64
2453575.8753,1.93,0.61
2453576.89023,4.07,0.55
2453577.86776,3.57,0.67
2453578.91377,-1.4,0.57
2453840.21603,4.18,0.77
2453841.16188,7.05,0.65
2453843.13891,10.21,0.62
2453844.08319,6.07,0.66
2453937.93317,-2.73,0.72
2453938.93436,0.21,0.64
2453943.88525,-2.85,0.53
2453944.88569,-5.13,0.47
2453945.88638,-6.74,0.55
2453946.8896,-3.68,0.55
2454111.21051,7.14,0.77
2454112.21939,6.16,0.6
2454113.2299,4.11,0.75
2454114.26145,3.12,0.9
2454119.24597,3.94,0.74
2454120.22002,3.31,0.7
2454121.2121,1.44,0.56
2454123.23541,-3.13,0.63
2454126.19788,-3.12,0.65
2454127.20219,-3.88,0.62
2454128.20519,-2.82,0.73
2454129.20022,0.69,0.52
2454130.1913,-4.28,0.53
2454131.20082,-5.25,0.53
2454132.20696,-4.95,0.73
2454135.19894,-7.04,0.67
2454136.21567,-4.83,0.56
2454137.21358,-0.9,0.49
2454138.19311,-1.62,0.82
2454139.18689,-3.61,0.72
2454141.21764,-0.05,0.71
2454142.20644,0.61,0.51
2454144.14374,-0.35,0.57
2454145.17237,2.53,0.58
2454146.19289,5.15,0.55
2454147.21096,-0.63,0.55
2454148.24103,-3.18,0.57
2454149.18109,2.16,0.63
2454150.21285,3.3,0.62
2454151.22296,0.56,0.64
2454152.09352,0.8,0.73
2454152.25396,-2.16,0.54
2454153.17187,2.83,0.68
2454154.09474,4.38,0.57
2454154.2705,3.11,0.66
2454155.06551,2.8,0.59
2454155.27322,2.43,0.64
2454156.18613,0.44,0.42
2454157.16889,2.37,0.89
2454158.18706,3.65,0.88
2454223.12188,8.13,0.54
2454224.15218,6.77,0.72
2454225.08458,10.59,0.62
2454226.02062,14.2,0.85
2454227.02043,8.15,0.68
2454252.97759,-0.11,0.8
2454254.01661,2.11,0.7
2454254.91868,5.69,0.85
2454255.9846,6.39,0.81
2454257.0718,1.58,0.83
2454333.86604,-0.54,1.34
2454334.86018,3.4,0.85
2454335.85304,8.92,0.8
2454336.84663,7.03,0.71
2454543.06967,0.1,0.71
2454550.11293,-2.14,0.85
2454551.09816,-2.56,0.86
2454552.1424,-5.26,0.93
2454553.1098,-2.94,1.0
2454897.20941,-4.86,1.06
2454900.19861,-0.16,1.03
2454901.16839,0.6,0.8
2454902.21654,-4.11,0.99
2454904.20346,-1.41,1.53
2454905.27335,3.23,0.8
2454906.2233,-0.55,0.93
2454907.21266,0.28,0.85
2454908.21531,7.41,0.75
2455013.83842,-0.28,0.61
2455015.8395,-1.99,0.68
2455017.84841,3.13,0.64
2455018.90225,0.9,0.7
2455018.95764,4.79,1.09
2455019.99765,-0.78,0.73
2455020.83414,0.35,0.6
2455021.88251,3.15,0.79
2455022.89587,3.61,0.74
2455023.87589,-0.93,0.89
2455029.86175,-0.04,0.59
2455030.97802,1.93,0.5
2455031.84137,-0.95,0.6
2455032.92564,-3.75,0.53
2455036.86026,-7.1,0.63
2455037.84849,-6.51,0.71
2455040.85306,-7.42,1.04
2455041.95419,-8.68,0.84
2455043.8452,-3.45,0.52
2455044.84224,-6.79,0.49
2455045.83918,-7.89,0.62
2455046.91766,-7.33,0.64
2455047.86724,-1.08,0.47
2455048.85263,-3.21,0.47
2455049.86609,-7.39,0.46
2455050.87397,-3.02,0.68
2455051.86595,-2.08,0.53
2455052.88848,-2.74,0.66
2455053.88182,-3.97,0.54
2455054.86448,-2.46,0.56
2455055.85374,2.2,0.53
2455058.8914,-1.51,0.59
2453369.16605,0.73,1.27
2453369.16661,1.84,1.34
2453369.16715,0.88,1.21
2453425.07597,8.25,1.1
2453425.07668,7.01,1.07
2453425.07741,4.19,1.07
2453479.95965,1.95,1.09
2453479.96032,3.0,1.08
2453479.96098,-2.44,1.02
2453546.78094,2.71,0.88
2453546.78161,1.21,0.91
2453546.78223,3.7,0.92
2453547.76681,0.93,0.84
2453547.76752,2.69,0.87
2453547.76835,3.57,0.8
2453547.7691,3.61,0.88
2453548.79946,-3.63,0.84
2453548.80009,-1.06,0.85
2453548.80073,-3.48,0.85
2453548.80142,-2.97,0.86
2453549.80006,-0.27,0.88
2453549.80071,-0.51,0.91
2453549.80135,1.45,0.87
2453549.80201,0.69,0.91
2453550.82267,-0.17,0.85
2453550.82333,2.96,0.88
2453550.82398,-0.06,0.81
2453550.82464,-2.74,0.88
2453551.80749,-7.67,0.94
2453551.80814,-3.44,0.93
2453551.8088,0.11,0.89
