BJD,RV,ERV
2455170.97568,47.0,21.0
2455221.93657,22.0,10.0
2455222.9715,38.0,13.0
2455224.88081,45.0,11.0
2455935.81114,2.0,6.0
2455935.91292,4.0,6.0
2455937.06564,28.0,9.0
2455962.93485,15.0,7.0
2455963.89445,6.0,7.0
2455964.97801,14.0,5.0
2456314.78899,2.0,8.0
2456315.98339,12.0,9.0
2456316.99046,1.0,11.0
2456317.76498,1.0,8.0
2456317.87538,21.0,11.0
2456317.98925,5.0,11.0
2455163.7825,51367.0,21.0
2455168.80944,51399.0,23.0
2455238.60592,51382.0,19.0
2455238.65085,51332.0,17.0
2455239.58374,51373.0,13.0
2455239.62694,51379.0,12.0
2455244.63174,51360.0,11.0
2455244.67206,51352.0,14.0
2455873.82681,51297.0,15.0
2455887.75733,51315.0,28.0
2455888.76728,51361.0,24.0
2455889.71362,51302.0,48.0
2455890.71149,51330.0,21.0
2455891.77165,51321.0,16.0
2455893.70971,51319.0,20.0
2455894.7524,51301.0,13.0
2455895.7486,51346.0,28.0
2455897.73358,51367.0,17.0
2455898.7357,51365.0,21.0
2455899.75383,51321.0,14.0
2455900.72193,51315.0,30.0
2455940.7312,51314.0,21.0
2455941.60339,51363.0,17.0
2455942.59996,51311.0,30.0
2455944.70908,51321.0,21.0
2455945.60067,51379.0,22.0
2455947.70024,51344.0,15.0
2455948.70078,51312.0,13.0
2455949.58968,51346.0,23.0
2455950.6012,51327.0,18.0
2455951.60073,51337.0,17.0
2456248.72977,51349.0,31.0
2456251.77125,51344.0,15.0
2456255.77752,51328.0,16.0
