BJD,RV,ERV
2450461.77113,4.35,1.06
2450716.03838,5.42,1.04
2451044.03918,7.94,1.14
2451044.04329,6.06,1.14
2451071.01567,0.71,1.13
2451173.80758,2.79,1.88
2451368.04395,2.5,1.07
2451412.00051,7.74,1.15
2451438.83506,7.8,1.13
2451552.75997,0.33,1.13
2451704.12495,6.09,1.11
2451882.73441,3.28,2.6
2452063.12014,3.43,1.31
2452097.04192,3.27,1.44
2452099.08799,4.75,1.21
2452129.01691,3.15,1.26
2452133.09619,8.08,1.31
2452487.96446,1.02,1.27
2452535.95822,3.03,1.32
2452574.86983,7.08,1.38
2452600.85907,3.65,2.61
2452829.10405,3.02,1.35
2452924.89439,2.14,1.19
2453238.98277,6.98,1.02
2453302.80391,0.46,0.97
2453338.81208,2.27,1.25
2453547.11094,5.72,0.99
2453547.1145,5.63,0.9
2453548.11449,4.02,1.02
2453549.12697,4.97,0.86
2453549.13054,6.24,0.85
2453550.1197,5.29,0.95
2453550.12331,7.91,0.96
2453551.09887,4.53,0.8
2453551.1024,4.07,0.85
2453552.06795,2.86,0.88
2453552.07135,2.33,0.88
2453571.07705,1.88,0.76
2453571.08172,3.17,0.81
2453723.72272,-0.5,1.04
2453723.72854,-0.19,0.95
2453928.01867,2.86,0.83
2453928.02206,2.1,0.8
2453981.93922,2.13,0.84
2453981.94234,1.81,0.99
2454085.85097,-1.33,1.06
2454085.85751,-2.05,1.26
2454398.90264,-1.21,1.17
2454429.8824,2.55,1.09
2454490.72768,2.88,1.09
2454491.73464,-2.06,1.06
2454667.09115,-0.42,0.93
2454667.99675,-1.38,0.9
2454672.01917,1.24,1.11
2454672.027,1.44,1.16
2454673.00424,-0.54,0.85
2454673.00728,-1.06,0.89
2454674.11984,1.05,0.93
2454676.09508,-2.85,1.08
2454676.09931,-3.54,1.05
2454687.04483,0.0,1.02
2454687.04991,-2.42,1.04
2454689.13119,-0.5,1.16
2454690.09869,0.36,1.07
2454702.11871,2.94,1.02
2454702.12179,4.56,0.98
2454703.01976,6.19,0.96
2454703.02287,5.71,1.08
2454704.11929,4.34,0.92
2454705.04543,3.57,0.98
2454705.04856,6.41,0.98
2454778.86564,-1.17,1.23
2454807.88673,4.58,1.02
2454819.88148,2.23,1.16
2454819.88583,2.35,0.99
2454821.80881,0.03,1.17
2454821.81412,1.65,1.22
2454822.83985,-0.8,1.12
2454822.84322,0.47,1.09
2455023.02544,-2.46,1.0
2455023.02831,-3.36,0.91
2455054.1336,-0.15,1.08
2455134.90427,-3.07,1.06
2455143.7994,-2.56,1.07
2455166.86242,-3.25,1.07
2455167.91282,-3.1,1.09
2455167.91599,-4.29,1.09
2455168.88044,-2.68,1.04
2455200.84857,-4.38,1.08
2455200.85317,-4.49,1.03
2455201.78304,-3.11,0.97
2455201.78612,-3.74,0.89
2455259.72854,-4.96,1.11
2455412.09164,3.15,0.97
2455434.04912,0.03,0.96
2455435.03304,-0.49,0.87
2455436.05029,1.31,1.15
2455437.07029,0.64,1.17
2455463.06263,1.88,1.13
2455463.06618,1.46,1.05
2455470.06996,3.13,1.05
2455490.02169,-3.55,1.26
2455516.98728,0.1,1.07
2455516.99073,0.77,1.02
2455542.83341,3.28,1.11
2455545.79392,-0.66,1.22
2455548.89515,-2.13,1.02
2455548.89918,-3.17,1.04
2455611.72524,0.92,1.04
2455613.72222,-0.27,1.13
2455704.11393,-4.58,1.25
2455705.122,-4.89,1.12
2455706.12223,-4.88,1.0
2455723.10746,3.94,1.1
2455723.10975,5.66,1.04
2455723.11199,5.04,1.02
2455726.12436,3.06,0.98
2455726.12694,3.61,1.09
2455726.12942,4.86,1.18
2455727.10267,0.2,1.07
2455727.10502,1.36,1.05
2455727.10743,0.15,1.2
2455729.07149,1.64,1.28
2455729.07907,-0.08,1.42
2455731.0884,3.82,0.94
2455731.09036,1.99,0.89
2455731.09242,2.04,0.98
2455732.1139,1.4,1.32
2455732.1206,12.45,1.68
2455734.1023,5.63,0.96
2455734.10451,3.54,1.06
2455734.10661,1.54,1.11
2455735.10534,1.69,1.1
2455735.10762,1.94,1.06
2455735.10991,3.07,1.02
2455736.09119,2.16,1.15
2455736.09357,3.88,1.13
2455736.09576,0.83,1.05
2455752.11999,-5.91,1.02
2455752.1225,-5.03,1.15
2455752.12486,-5.54,0.95
2455753.01984,-5.61,1.17
2455753.027,-4.92,1.21
2455753.03447,-3.24,1.08
2455760.11847,-2.07,1.11
2455760.12052,-3.09,1.1
2455760.12272,-1.73,1.16
2455761.11708,-3.6,1.14
2455761.11891,-2.92,0.97
2455761.12076,-2.36,0.97
2455762.11958,-3.16,0.89
2455762.12138,-2.66,0.93
2455762.12316,-2.99,0.96
2455770.10383,3.36,1.15
2455770.11109,2.89,1.24
2455770.1195,1.63,1.2
2455770.94661,2.75,0.95
2455770.94896,3.36,0.99
2455770.95132,4.56,0.96
2455782.09008,2.88,1.09
2455782.09233,4.31,1.0
2455782.09453,2.29,1.02
2455783.09604,2.87,1.03
2455783.0985,1.44,1.06
2455783.10088,2.43,1.01
2455786.11937,0.73,0.9
2455786.12128,-0.63,1.09
2455786.12315,0.01,1.07
2455787.99192,1.41,1.14
2455787.99539,1.36,1.03
2455787.99823,-2.23,0.92
2455789.09586,-0.36,1.03
2455789.09773,-1.64,0.97
2455789.0996,-4.29,1.09
2455790.09455,-0.03,1.05
2455790.09644,-0.02,1.05
2455790.09832,-0.38,1.04
2455791.11036,0.35,1.05
2455791.11224,2.86,1.01
2455791.11411,2.19,0.96
2455792.08527,2.17,1.01
2455792.08698,3.8,1.04
2455792.08868,3.73,0.94
2455793.08777,0.06,1.01
2455793.08979,-0.65,0.97
2455793.09179,-1.66,1.02
2455794.12646,1.73,0.96
2455794.1284,1.39,0.92
2455794.1304,0.22,0.95
2455795.1045,-1.81,1.14
2455795.10686,0.55,1.08
2455795.10904,-2.03,0.98
2455796.09542,-1.76,1.08
2455796.0974,-1.98,1.01
2455796.09938,-2.32,1.05
2455797.11323,-1.02,1.1
2455797.1154,-3.99,1.16
