BJD,RV,ERV
2452986.76963,18403.54,1.45
2452998.77477,18400.73,0.91
2453343.76922,18405.49,1.58
2453370.80666,18408.91,0.81
2453371.75207,18408.07,0.86
2453372.72505,18408.42,0.94
2453373.74324,18408.27,0.89
2453376.71812,18408.13,0.98
2453377.70986,18406.5,0.87
2453809.59462,18411.05,0.8
2453882.47392,18407.64,1.09
2454122.68533,18415.18,0.87
2454166.58308,18412.72,0.99
2454168.60042,18413.1,0.79
2454170.61453,18410.61,0.92
2454172.56518,18411.87,0.79
2454174.59409,18414.05,0.87
2454197.54978,18413.48,0.99
2454230.46667,18415.24,1.05
2454419.84438,18415.0,0.79
2454423.81721,18413.77,0.93
2454427.7727,18410.67,0.81
2454446.81482,18413.54,0.84
2454448.82057,18412.9,0.92
2454450.79497,18413.56,0.83
2454456.8007,18415.88,0.85
2454457.74289,18414.44,0.77
2454458.71973,18413.45,0.92
2454459.68693,18415.51,0.94
2454462.75049,18413.13,0.82
2454464.7724,18411.99,0.77
2454522.66675,18418.22,0.87
2454527.63691,18419.38,0.81
2454551.61104,18419.09,0.83
2454552.53432,18416.71,0.79
2454555.55782,18417.1,0.84
2454562.50666,18415.51,0.76
2454566.49659,18415.88,0.82
2454571.5122,18415.73,0.89
2454775.83489,18407.81,0.81
2454779.76679,18404.91,0.86
2454913.62077,18414.16,0.81
2454914.58207,18416.06,0.83
2454915.5365,18415.71,0.89
2454916.56074,18416.32,0.85
2454917.55463,18415.66,0.88
2454918.56609,18417.53,0.8
2454919.52699,18419.65,0.77
2454920.58141,18419.22,0.89
2454932.51835,18414.39,0.8
2454933.51672,18416.73,0.82
2454934.50019,18415.93,0.88
2454936.49926,18414.8,0.92
2454937.49885,18416.56,0.89
2454938.47336,18417.89,0.8
2454939.50831,18417.45,0.86
2454940.52162,18415.96,0.91
2454946.49267,18415.14,0.84
2454951.47788,18414.67,0.91
2454954.48348,18414.31,0.85
2455122.85886,18417.6,0.98
2455126.87213,18417.32,0.89
2456307.78913,18418.06,0.87
2456308.61595,18419.22,0.92
2456310.69166,18416.27,1.01
2456311.62601,18418.48,1.21
2456312.72297,18422.62,1.32
2456314.74709,18417.15,0.98
2456315.64375,18421.83,1.59
2456320.70513,18423.29,1.09
2456321.72709,18420.57,0.95
2456322.65235,18422.72,1.01
2456323.68089,18418.68,0.93
2456324.64216,18418.18,1.35
2456325.66751,18420.65,1.12
2456326.66451,18417.59,1.01
2456327.67972,18419.07,0.94
2456328.57725,18417.59,1.04
2456329.61107,18417.09,0.98
2456331.59628,18415.3,1.02
2456332.63445,18416.53,1.01
2456333.66401,18416.33,0.89
2456335.61017,18418.3,0.9
2456336.61155,18418.35,0.95
