BJD,RV,ERV
2453158.76437,-3.1,0.95
2453201.58679,-11.88,1.25
2453511.79885,-7.61,0.89
2453520.78105,-3.92,1.17
2453783.86335,0.25,0.61
2453810.85228,-3.48,0.55
2453811.89182,2.2,1.08
2453812.86586,-0.34,0.71
2453814.84908,-10.16,0.49
2453816.85746,-9.15,0.52
2453830.86047,-6.96,0.56
2453832.90307,-0.49,0.64
2453834.88498,-1.5,0.72
2453836.88779,-6.99,0.48
2453861.79637,6.38,0.59
2453862.77205,6.69,0.76
2453863.79718,4.57,0.59
2453864.75395,1.21,0.68
2453865.78561,-1.85,0.61
2453866.74312,-1.36,0.58
2453867.83565,-0.48,0.66
2453868.81351,2.34,0.56
2453869.7895,3.85,0.63
2453870.8101,2.37,0.88
2453871.81595,-1.11,0.61
2453882.73297,-2.96,0.52
2453886.70355,-4.54,0.58
2453887.77351,-5.97,0.48
2453917.73752,-4.12,0.88
2453919.71254,0.98,0.99
2453921.61583,-1.67,0.49
2453944.56626,-2.02,0.98
2453947.57882,3.89,1.68
2453950.60183,-1.01,0.89
2453976.49711,2.4,0.61
2453979.59432,-2.67,0.95
2453981.55531,-4.77,0.64
2453982.5265,-4.36,0.81
2454167.86684,-1.87,0.62
2454169.86484,-0.1,0.59
2454171.87691,5.17,0.71
2454173.85645,-1.18,0.83
2454194.84729,1.27,0.59
2454196.81916,-3.57,0.79
2454197.79713,-3.83,0.86
2454198.80382,-4.06,0.76
2454199.85424,0.18,0.55
2454200.8157,1.3,0.6
2454201.9184,0.54,0.79
2454202.8027,-2.96,0.69
2454227.83174,-1.26,0.84
2454228.80586,3.35,0.68
2454229.77389,7.44,1.29
2454230.84584,1.51,0.58
2454231.80173,-0.57,0.62
2454232.72125,-0.63,1.15
2454233.91035,-1.27,1.29
2454234.79098,-1.89,0.74
2454253.72833,0.99,0.79
2454254.7559,-2.64,0.54
2454255.70935,-2.92,0.74
2454256.69767,-0.21,0.97
2454257.70445,2.93,0.66
2454258.69832,4.19,0.83
2454291.67557,-5.58,1.16
2454292.65566,-4.37,0.75
2454293.70879,0.89,0.63
2454295.62863,3.05,0.92
2454296.67039,-4.68,0.75
2454297.63168,-5.53,0.63
2454298.65421,-5.39,0.67
2454299.67891,-1.46,0.85
2454300.76465,0.14,0.74
2454314.69181,-0.53,1.88
2454315.63755,3.41,1.12
2454316.55493,5.78,0.96
2454319.60405,-6.64,0.79
2454320.61685,-5.58,0.65
2454340.59694,-1.52,0.6
2454342.53182,-2.39,0.66
2454343.53066,0.55,0.64
2454346.55108,-0.17,1.01
2454349.5695,-5.24,0.65
2454522.88646,-1.68,0.7
2454524.88309,4.38,0.69
2454525.89214,1.96,0.72
2454526.8712,-1.08,0.54
2454527.89796,-2.69,0.64
2454528.90367,-2.8,0.71
2454529.86922,0.48,0.63
2454530.87888,1.4,0.68
2454550.90193,-6.95,0.7
2454551.86878,-3.73,0.65
2454552.88022,0.24,0.59
2454554.84637,2.14,0.57
2454555.87079,-2.84,0.58
2454556.83894,-4.14,0.59
2454557.80459,-4.56,0.66
2454562.90508,0.67,0.7
2454563.89881,-1.37,0.71
2454564.89576,-2.63,0.85
2454568.8917,3.27,0.87
2454569.88108,-0.46,0.83
2454570.87077,-1.7,0.72
2454583.93332,0.44,1.0
2454587.91983,-0.5,0.9
2454588.90963,4.05,0.98
2454590.90196,4.22,0.93
2454591.90061,1.69,0.91
2454592.89775,-2.5,0.68
2454593.91996,-2.3,0.74
2454610.87823,9.08,0.88
2454611.85658,5.49,0.56
2454616.84172,4.81,0.91
2454617.80658,8.12,0.93
2454618.66447,10.67,1.76
2454639.86773,3.14,1.06
2454640.7238,5.06,0.64
2454642.67695,-0.81,0.47
2454643.68613,-2.06,0.72
2454644.73204,-1.19,0.46
2454646.63966,5.74,1.11
2454647.63021,5.37,0.68
2454648.65709,2.58,0.92
2454658.65084,-4.2,0.97
2454660.65021,-0.82,1.13
2454661.76006,1.72,0.73
2454662.66414,3.3,0.72
2454663.78438,-1.92,0.93
2454664.76656,-1.0,1.51
2454665.77451,-1.88,0.87
2454666.68361,-0.37,0.87
2454674.57646,4.82,1.01
2454677.66349,7.37,1.78
2454679.57267,2.94,1.26
2454681.574,2.51,0.89
2454701.52339,-0.5,0.68
2454708.56479,-0.12,0.86
2454733.48729,8.06,3.51
2454735.49943,0.0,1.04
2454736.55087,-3.28,0.91
2454746.48593,-4.49,0.58
2454992.72106,6.84,0.79
2455053.69454,-3.2,0.84
2455276.88259,0.27,0.74
2455278.8273,1.84,0.92
