BJD,RV,ERV
2452990.81451,-9490.15,1.2
2453002.83363,-9491.01,1.13
2453051.74927,-9487.82,1.12
2453063.67446,-9487.62,1.03
2453759.77268,-9493.12,0.38
2454141.75387,-9491.37,0.37
2454422.85208,-9490.33,0.44
2454426.83021,-9491.4,0.39
2454521.67529,-9490.54,0.47
2454522.75163,-9492.06,0.44
2454523.72989,-9491.34,0.46
2454524.71902,-9492.75,0.42
2454525.73898,-9492.68,0.41
2454526.6741,-9493.83,0.39
2454527.70033,-9491.95,0.4
2454528.66385,-9493.4,0.42
2454529.66626,-9491.76,0.44
2454530.71159,-9492.98,0.39
2454569.58882,-9489.44,0.45
2454571.56813,-9490.27,0.49
2454611.54352,-9492.1,0.45
2454616.54398,-9491.85,0.52
2454618.49948,-9490.87,0.65
2454620.46544,-9491.09,1.17
2454640.52281,-9492.45,0.44
2454643.49018,-9492.22,0.44
2454647.50597,-9492.3,0.45
2454774.86071,-9491.27,0.49
2454775.85951,-9491.13,0.52
2454776.86403,-9490.39,0.56
2454777.87158,-9490.75,0.51
2454778.87121,-9491.65,0.48
2454779.87319,-9491.72,0.46
2454780.87114,-9490.38,0.55
2454799.82986,-9490.43,0.5
2454800.83429,-9492.49,0.36
2454801.79065,-9493.31,0.43
2454802.82679,-9492.39,0.35
2454803.80505,-9491.07,0.37
2454804.83405,-9490.77,0.4
2454805.82806,-9491.24,0.42
2454806.80424,-9491.01,0.4
2454807.80998,-9491.41,0.38
2454847.80026,-9492.28,0.34
2454848.80163,-9490.63,0.32
2454849.7693,-9490.07,0.35
2454850.79608,-9491.83,0.33
2454851.78868,-9490.09,0.34
2454852.78867,-9490.84,0.33
2454853.77149,-9490.35,0.34
2454854.79711,-9490.24,0.33
2454878.71662,-9492.14,0.34
2454879.66815,-9491.68,0.39
2454880.75239,-9493.43,0.32
2454881.74306,-9492.17,0.35
2454882.67091,-9491.96,0.36
2454883.64099,-9492.04,0.37
2454884.71141,-9491.47,0.37
2454885.63862,-9492.31,0.38
2454886.70769,-9493.4,0.34
2454913.63232,-9491.27,0.33
2454914.62839,-9491.12,0.33
2454915.63299,-9490.04,0.38
2454916.62564,-9491.11,0.33
2454917.62727,-9491.15,0.33
2454918.63273,-9491.23,0.32
2454919.59834,-9490.32,0.31
2454920.62177,-9490.49,0.33
2455184.81925,-9491.89,0.32
2455219.81525,-9492.23,0.36
2455220.80442,-9492.78,0.36
2455222.8101,-9491.75,0.52
2455223.81539,-9492.13,0.4
2455224.72967,-9491.86,0.35
2455225.7836,-9493.2,0.38
2455226.826,-9493.14,0.33
2455228.8496,-9493.31,0.54
2455231.76834,-9492.31,0.45
2455232.79348,-9491.86,0.42
2455233.72107,-9491.66,0.39
2455234.76912,-9491.9,0.37
2455235.7595,-9492.02,0.41
2455236.7253,-9491.61,0.42
2455237.74952,-9491.17,0.36
2455238.78313,-9491.61,0.33
2455239.78512,-9491.93,0.33
2455240.76612,-9490.1,0.38
2455241.787,-9491.2,0.33
2455242.79091,-9491.17,0.33
2455243.79879,-9491.02,0.34
2455244.814,-9491.44,0.37
2455245.73481,-9492.3,0.34
2455246.7679,-9490.93,0.38
2455247.79685,-9491.4,0.4
2455248.75565,-9490.6,0.35
2455272.64081,-9489.75,0.34
