BJD,RV,ERV
2457179.9186,2.24,1.81
2457197.79446,-3.58,1.66
2457199.86203,-4.57,1.79
2457206.92342,-4.96,2.01
2457208.89518,-2.8,1.68
2457211.84494,-2.49,1.71
2457213.94398,1.86,1.84
2457228.86852,-3.8,1.71
2457245.82275,-4.84,1.64
2457255.79446,-6.88,1.79
2457265.78026,-5.92,1.78
2457290.77412,-4.75,2.07
2457298.73809,-15.48,1.72
2457520.95713,2.08,1.63
2457555.93294,5.91,2.0
2457562.00286,0.81,1.9
2457562.88992,1.92,1.85
2457577.7832,-6.38,1.72
2457579.85868,3.02,1.84
2457580.97925,6.3,1.77
2457581.96795,2.65,1.88
2457582.84793,1.58,1.64
2457591.96443,3.75,1.95
2457595.85789,-0.4,1.89
2457598.90756,10.05,1.76
2457599.89725,0.8,1.75
2457615.80241,-6.52,1.71
2457616.79852,-1.33,1.68
2457617.79467,12.13,1.71
2457618.77655,0.63,1.64
2457620.7994,1.58,1.72
2457185.6069,10.69,2.65
2457185.67718,10.92,2.34
2457185.81974,9.38,2.73
2457185.84975,3.16,4.14
2457186.59974,1.56,3.49
2457186.66981,8.09,2.97
2457186.79015,0.48,2.84
2457186.82363,6.96,3.18
2457187.67459,5.04,1.66
2457187.74382,2.94,2.41
2457187.78138,0.31,2.22
2457187.81506,8.21,3.13
2457188.63849,6.46,2.19
2457188.69403,5.69,1.73
2457188.75958,-8.45,3.83
2457188.79906,-1.28,2.62
2457188.83141,10.79,3.66
2457189.64108,-1.58,2.19
2457189.69856,-1.46,1.71
2457189.75643,-3.27,1.53
2457189.7889,-8.02,1.53
2457189.82294,-8.48,1.78
2457190.64915,-6.05,1.67
2457190.684,-2.64,1.73
2457190.71716,-7.75,2.04
2457190.74988,-3.93,2.18
2457190.7842,-8.97,2.22
2457191.66878,-10.48,3.27
2457191.70642,-13.28,2.14
2457191.76095,-4.02,2.42
2457191.79493,-4.92,3.2
2457191.82491,-0.74,3.98
2457192.65964,-2.13,3.69
2457198.72143,-2.16,4.51
2457198.80982,-11.76,2.74
2457199.60136,-9.32,1.89
2457199.68346,-13.58,1.59
2457211.70008,11.06,2.31
2457253.48543,-0.6,2.5
2457264.51816,6.03,2.99
2457267.56388,15.81,2.15
2457270.50147,-0.73,1.92
2457278.56859,12.0,3.48
