BJD,RV,ERV
2455404.0115,9.78,2.76
2455406.94381,5.91,2.9
2455407.87178,-1.02,2.75
2455411.92739,-1.76,2.74
2455413.94712,-9.22,2.91
2455414.85213,-12.73,2.66
2455433.79276,-5.53,2.61
2455434.77155,0.81,2.61
2455437.91829,3.25,2.92
2455440.85292,-6.4,2.67
2455735.03489,6.12,2.81
2455751.84307,5.1,2.87
2455760.04075,4.36,2.69
2455760.90981,0.13,2.67
2455796.00298,-3.74,3.22
2455797.81629,5.21,2.65
2455807.98811,-3.4,3.2
2455810.91768,-0.34,2.67
2455811.76228,-10.68,2.68
2456113.00474,8.75,2.69
2456114.05315,7.21,3.26
2456208.7735,-3.19,2.78
