BJD,RV,ERV
2457349.63699,-13246.35,5.39
2457349.66081,-13239.62,5.27
2457353.60536,-13243.3,5.18
2457353.6273,-13233.33,5.55
2457354.61804,-13235.92,3.45
2457354.63978,-13239.79,3.17
2457355.62765,-13237.01,4.17
2457355.64876,-13235.61,3.84
2457356.60095,-13235.25,3.83
2457356.62289,-13237.62,3.88
2457357.61871,-13227.56,3.66
2457357.64066,-13229.31,3.14
2457364.61249,-13242.04,3.51
2457364.63472,-13240.56,3.5
2457365.61892,-13243.8,3.16
2457365.64054,-13247.01,3.17
2457366.62712,-13250.25,4.72
2457366.64874,-13247.34,4.12
2457367.61035,-13243.5,3.47
2457367.63112,-13244.07,3.27
2457370.62294,-13240.79,2.96
2457370.64392,-13235.61,2.85
2457371.5569,-13241.16,3.37
2457371.57889,-13234.3,3.43
2457372.58767,-13240.52,3.54
2457372.60907,-13236.81,3.59
2457373.64356,-13237.02,3.48
2457373.66411,-13235.1,4.5
2457374.61414,-13232.79,4.13
2457374.63659,-13234.26,4.92
2457389.5361,-13235.77,3.9
2457389.55646,-13242.98,4.95
2457390.53764,-13233.17,3.28
2457390.56009,-13238.55,4.93
2457401.53791,-13226.55,4.07
2457404.55962,-13234.71,3.39
2457404.57914,-13232.28,3.34
2457405.57777,-13222.41,4.76
2457405.59091,-13234.36,12.59
2457407.55156,-13234.34,3.88
2457407.57212,-13235.82,3.38
2457410.55798,-13237.16,4.26
2457414.538,-13245.03,5.66
2457534.90858,-13237.99,4.07
2457534.93094,-13239.39,5.0
2457536.91401,-13254.98,6.62
2457536.93442,-13248.81,12.26
2457567.85392,-13237.6,4.27
2457567.87608,-13237.73,3.76
2457569.86033,-13239.03,7.21
2457569.87122,-13235.23,9.81
2457570.86935,-13233.81,4.08
2457575.8628,-13226.7,5.63
2457575.88474,-13230.73,5.3
2457576.86637,-13220.23,4.42
2457576.88832,-13226.69,4.42
2457577.89621,-13231.13,9.33
2457577.91857,-13232.64,7.69
2457583.89605,-13245.72,9.14
2457583.91779,-13228.6,10.01
2457586.86104,-13242.54,3.7
2457586.88216,-13238.77,4.12
2457605.91098,-13239.08,5.04
2457605.9323,-13242.85,4.79
2457606.91126,-13244.4,9.85
2457606.93423,-13232.25,8.39
2457607.89726,-13244.34,5.31
2457607.91859,-13250.02,4.87
2457608.87266,-13245.81,6.56
2457608.8946,-13245.17,6.72
2457612.76641,-13246.92,3.57
2457612.88375,-13243.97,4.15
2457613.75821,-13248.45,3.32
2457613.89291,-13244.74,3.58
2457614.81328,-13245.72,3.72
2457614.90814,-13244.08,4.88
2457615.77999,-13249.22,3.39
2457615.87972,-13247.19,3.94
2457623.87745,-13242.08,3.7
2457623.89878,-13238.14,3.67
2457625.87184,-13234.64,3.4
2457625.89296,-13238.59,5.23
2457630.76012,-13243.12,3.77
2457630.78343,-13239.7,4.08
2457631.85492,-13233.82,3.63
2457631.87748,-13235.12,4.27
2457632.72577,-13236.96,5.32
2457632.74772,-13236.19,5.5
2457641.73282,-13241.19,5.06
2457641.75424,-13242.22,5.61
2457642.70371,-13243.07,3.94
2457642.72531,-13244.4,4.95
2457643.7479,-13236.89,3.8
2457643.76909,-13230.43,3.57
2457644.73229,-13235.38,4.35
2457644.75412,-13236.86,4.43
2457651.76905,-13222.28,4.35
2457651.79122,-13227.72,4.17
2457652.65796,-13223.97,4.31
2457652.67969,-13222.42,4.79
2457655.68535,-13228.25,3.85
2457655.70708,-13228.22,4.4
2457657.69836,-13232.81,3.93
2457657.72135,-13232.4,4.4
2457658.66852,-13232.44,4.18
2457658.69067,-13232.93,4.03
2457659.69764,-13240.52,6.28
2457659.71979,-13231.6,5.93
2457660.62186,-13240.15,5.42
2457660.64423,-13240.21,5.42
2457661.7111,-13241.71,4.56
2457661.73326,-13237.75,4.08
2457662.62256,-13234.65,5.75
2457662.64452,-13235.42,6.16
2457674.73995,-13231.05,6.01
2457680.75387,-13224.46,8.93
2457680.77498,-13237.87,8.75
2457681.64681,-13227.97,3.86
2457681.66833,-13231.99,3.58
2457682.7561,-13238.14,3.93
2457682.78009,-13234.57,4.75
2457686.58879,-13242.01,4.96
2457686.61116,-13246.15,4.41
2457687.73533,-13242.3,5.77
2457687.75644,-13252.76,7.77
2457688.73181,-13241.53,4.16
2457688.75355,-13241.71,5.64
2457689.73908,-13236.54,4.22
2457689.76081,-13241.68,4.27
2457699.53997,-13236.58,3.85
2457701.55804,-13235.01,6.3
2457701.6693,-13237.21,4.36
2457705.55678,-13239.05,4.1
2457705.65329,-13239.28,4.33
2457728.59813,-13234.75,3.28
2457728.61932,-13237.4,5.07
2457729.57387,-13238.78,3.31
2457729.59527,-13238.16,3.08
2457733.56987,-13245.31,3.31
2457733.59065,-13238.88,3.33
2457734.56664,-13234.94,3.45
2457734.58784,-13247.35,4.46
2457735.55959,-13237.74,2.86
2457735.58078,-13241.86,2.89
