BJD,RV,ERV
2453152.59977,0.89,0.78
2453202.58481,-1.56,1.59
2453203.53722,1.43,0.92
2453205.53168,0.76,3.62
2453207.50763,-0.38,1.73
2453577.4956,3.32,0.92
2453809.89359,-0.58,0.88
2453810.78351,-0.64,0.81
2453812.78215,1.46,0.89
2453816.80955,-3.09,0.88
2454173.81822,0.4,0.84
2454293.58648,3.36,0.97
2454296.59345,-0.3,1.02
2454299.59777,5.45,1.09
2454300.55756,-0.95,0.96
2454646.56931,1.48,0.89
2454658.56436,1.84,1.09
2454666.54347,0.77,0.81
2454878.8638,-0.21,0.75
2454879.83013,0.9,0.89
2454881.8737,-0.22,0.77
2454882.85354,-1.34,0.83
2454883.86161,-0.37,1.04
2454884.8354,1.12,0.8
2454885.87508,-0.17,0.83
2454886.84359,0.4,0.91
2454989.65226,3.73,0.88
2454992.65034,1.96,0.9
2455053.55611,1.41,0.95
2455057.53839,0.79,0.89
2455275.77168,2.23,0.99
2455276.8714,2.86,1.31
2455277.80604,1.17,1.11
2455278.79052,2.58,1.06
2455279.79176,0.82,1.71
2455280.79387,-0.74,1.03
2455281.75993,-3.23,1.09
2455282.8139,-4.13,0.94
2455283.77874,-3.4,1.01
2455292.80282,-2.23,0.93
2455611.80711,6.71,0.94
2455641.75137,-1.15,1.0
2455644.79099,0.52,0.77
2455645.75944,1.67,0.88
2455647.7299,0.96,2.2
2455648.82871,1.82,0.85
2455653.64951,0.67,0.85
2455656.65149,2.86,0.83
2455659.77795,-0.31,0.96
2455663.62844,1.48,1.15
2455673.72249,4.87,1.0
2455715.56065,1.99,1.3
2456310.84059,-0.87,1.13
2456320.86686,-0.86,1.06
2456322.82801,-1.32,0.96
2456354.82074,-1.62,1.08
2456356.80482,-0.67,0.98
2456361.83897,-0.63,0.99
2456362.88096,-2.31,1.12
2456363.77808,-1.8,1.01
2456365.81835,-3.97,1.04
2456366.7947,-3.82,1.14
2456367.77282,-6.16,1.05
2456369.75453,-4.7,0.82
2456370.74777,-4.45,0.84
2456371.80541,-3.15,0.91
2456373.73751,0.38,0.84
2456374.76447,-2.26,1.17
2456417.70635,0.47,0.58
2456417.90696,-0.69,1.75
2456418.71927,-1.24,0.52
2456419.67051,-0.76,0.89
2456420.62673,-1.63,0.55
2456421.50573,4.93,1.31
2456422.65978,-0.59,0.79
2456423.66131,-2.52,0.98
2456424.58405,-1.1,0.93
2456426.59393,1.3,0.64
2456427.48937,6.1,1.22
2456428.51622,6.39,1.19
2456656.80605,1.46,0.81
2456657.80869,-0.27,0.68
2456658.82031,-1.33,0.68
2456659.8325,1.2,0.79
2456660.84098,-0.93,0.86
2456661.82728,0.9,0.75
2456663.86288,1.18,0.73
2456665.83862,2.22,0.73
2456666.83309,2.57,0.68
2456667.82911,1.49,0.65
2457406.8704,0.79,1.11
2457407.8619,-1.59,1.58
2457410.86762,0.56,1.5
2457412.86697,3.51,1.05
2457413.86971,3.86,1.08
2457414.87074,0.91,1.15
2457415.87886,1.48,1.02
2457416.87219,1.23,0.97
2457417.87913,-0.41,0.72
2457418.87481,-1.54,1.0
2457420.88223,-0.43,0.7
2457421.88004,0.22,1.0
2457422.86768,-0.81,0.87
2457423.87646,-0.42,0.94
2457425.88275,2.77,0.96
2457427.88332,1.16,0.8
2457428.8803,-1.03,0.92
2457429.88158,-3.49,1.0
2457431.88701,0.63,0.97
2457432.88312,-2.33,0.96
2457433.89132,0.48,0.97
2457434.87979,0.11,1.03
2457436.85909,2.59,1.0
2457437.86191,1.59,0.92
2457438.85789,-0.01,1.04
2457439.85787,0.44,1.0
2457440.86274,0.0,1.09
2457442.8688,-2.55,0.92
2457444.88727,1.66,1.19
2457445.87074,1.24,1.14
2457446.87153,1.12,0.95
2457447.87667,1.6,1.08
2457448.88016,1.51,1.04
2457449.87615,1.62,0.71
2457450.89727,0.89,1.03
2457452.87896,-1.64,0.96
2457453.9118,-1.68,0.99
2457454.90845,-1.85,1.1
2457455.90909,0.44,0.82
2457456.90808,0.18,1.08
2457457.88163,0.05,0.94
2457458.89839,-0.44,1.12
2457460.88322,-1.78,0.72
2457461.88425,-1.79,0.9
2457462.88796,-2.33,0.95
2457463.89003,-3.44,1.26
2457465.88254,-3.64,1.58
2457466.91306,-3.34,1.05
2457467.90991,-4.96,1.08
2457473.88258,-1.62,1.17
2457474.89441,-4.78,1.05
2457475.89205,-1.54,0.9
2457476.88925,-4.8,1.04
2457477.89794,-2.49,1.13
