BJD,RV,ERV
2457244.87107,0.48,1.67
2457244.87895,5.92,1.77
2457244.88702,-1.84,1.66
2457244.89526,-3.04,1.82
2457244.90349,-1.37,1.64
2457244.91188,-3.26,1.84
2457244.92015,-5.65,1.59
2457244.92851,-8.04,1.76
2457244.9366,-8.56,1.66
2457244.94482,-2.06,1.71
2457244.95308,-0.15,1.66
2457244.96143,-0.13,1.62
2457244.96992,-4.3,1.73
2457244.97873,-9.13,1.77
2457244.98722,-20.02,1.73
2457244.99582,-20.64,1.68
2457245.00499,-29.55,1.73
2457245.01372,-32.44,1.66
2457245.02223,-39.56,1.67
2457245.03061,-39.94,1.59
2457245.03892,-43.69,1.62
2457245.04745,-48.47,1.65
2457245.0562,-53.78,1.52
2457245.0657,-50.95,1.79
2457245.07451,-46.85,1.6
2457245.0831,-44.16,1.65
2457245.09181,-48.39,1.52
2457245.10071,-57.42,1.53
2457245.11002,-52.81,1.68
2457256.10346,96.66,2.11
2457286.03022,87.81,2.19
2457294.94913,-53.43,2.17
2457296.99283,-24.59,2.0
2457298.98093,-15.4,3.62
2457326.87965,108.91,1.96
2457353.81978,-133.61,2.05
2457354.80386,-95.88,1.95
2457355.79476,88.2,1.99
2457384.71139,82.45,1.93
2457521.10818,-64.84,1.86
2457562.10856,-115.52,1.81
2457570.07676,-89.15,2.05
2457580.06023,74.59,1.83
2457581.04649,167.52,1.81
2457582.04349,12.38,1.98
2457583.061,-104.76,1.83
2457583.92251,13.32,1.83
2457584.10991,59.97,1.8
2457584.91466,158.68,1.9
2457585.06854,173.44,1.79
2457585.91131,62.57,1.98
2457586.08959,19.48,2.04
2457586.90961,-110.17,1.72
2457587.08845,-119.61,1.67
2457587.95071,-16.79,2.01
2457588.09723,21.03,1.8
2457595.89459,-81.36,2.24
2457596.12057,-37.76,2.18
2457596.91783,123.24,2.11
2457598.93809,-51.78,2.07
2457599.10629,-79.28,1.95
2457599.92809,-91.45,1.83
2457600.11806,-63.52,1.87
2457600.92727,101.12,2.06
2457602.05544,149.79,2.09
2457612.85252,-14.58,1.83
2457614.02377,164.96,1.77
2457615.87159,-87.25,1.96
2457616.8949,-37.49,1.9
2457622.04298,143.94,2.3
2457651.80424,161.48,1.74
2457652.8034,-3.55,1.77
2457653.93889,-80.03,1.86
2457668.74916,126.48,2.14
2455328.91473,-27198.63,9.62
2455384.9303,-26942.96,14.71
2455389.7034,-27007.56,10.48
2455390.7133,-27185.66,10.57
2455391.83624,-27141.57,8.34
2455392.68073,-26979.7,9.23
2455396.79875,-26954.05,9.86
2455403.68887,-27200.69,8.62
2455408.68693,-27106.85,15.38
2455409.65039,-26958.94,9.18
2455417.78519,-26972.59,24.36
2455450.54805,-27053.8,11.63
2455454.72703,-27055.41,9.1
2455782.76529,-27121.03,11.0
2455795.78019,-27002.83,10.65
2455809.59584,-26937.3,10.52
2455885.57016,-27170.38,16.07
2455886.55497,-27152.84,13.58
2455887.60927,-26936.72,13.19
2455888.55794,-26941.35,10.59
2456205.69075,-27165.68,12.58
2456213.633,-27109.77,18.66
2456246.53954,-27030.5,10.77
2456269.53183,-27104.98,13.7
2456270.53052,-26952.72,10.43
2456437.85823,-27000.67,9.72
2456452.92498,-27006.23,8.9
2456459.92407,-27210.81,7.84
2456477.72135,-27051.62,11.49
2456486.84436,-26927.02,10.94
2456505.75775,-27200.42,9.39
2456512.74521,-26997.12,11.42
2456514.75256,-27129.83,10.53
2456515.74934,-26952.7,11.51
2456530.62982,-27219.72,18.5
2456534.78987,-27224.05,19.55
2456559.71376,-27243.59,19.07
2456590.65068,-26972.69,14.37
2456616.57405,-27053.65,17.45
2456782.89961,-26995.61,12.33
2456808.87628,-27193.8,11.4
2456831.87664,-26961.41,7.32
2456859.80435,-27161.25,9.82
2456885.63197,-26974.27,12.22
2456915.75332,-26940.52,11.16
2456950.55382,-27191.06,7.75
2457257.72118,-70.6,2.5
2457257.75179,-77.9,2.7
2457257.78398,-91.4,2.8
2457257.82156,-97.1,2.9
2457258.71838,-162.9,3.4
2457258.79017,-154.4,2.7
2457258.85757,-132.2,3.5
2457261.7366,-49.8,2.7
2457261.76702,-56.8,3.4
2457261.8214,-61.7,4.0
2457264.62126,130.9,3.1
2457264.72228,137.2,3.3
2457264.76263,135.0,3.9
2457264.79265,137.5,3.9
2457267.66553,-56.2,2.8
2457267.71831,-32.4,2.7
2457267.77191,-42.8,2.7
2457267.81646,-18.3,3.4
2457268.57182,112.6,3.3
2457268.67365,118.0,3.1
2457268.76017,122.2,3.4
2457268.79893,113.0,3.9
2457269.60852,39.0,2.8
2457269.71049,27.7,3.1
2457269.74771,27.7,2.7
2457269.79398,3.4,3.7
