BJD,RV,ERV
2453158.68022,-21033.11,1.15
2453203.58361,-21037.38,0.94
2453484.84222,-21037.04,0.86
2454172.85054,-21034.81,0.84
2454293.6514,-21038.05,0.87
2454340.56988,-21033.97,0.79
2454342.50174,-21038.7,0.78
2454343.5045,-21039.88,0.88
2454344.51023,-21039.43,0.94
2454345.482,-21037.66,0.89
2454346.50996,-21038.41,1.01
2454347.50807,-21042.42,1.02
2454349.5354,-21037.69,0.87
2454548.86087,-21039.15,1.02
2454552.81264,-21037.6,0.78
2454557.84309,-21040.09,0.83
2454564.84672,-21035.7,0.83
2454567.89148,-21035.03,0.88
2454664.63037,-21031.52,1.06
2454665.62495,-21032.77,0.85
2455057.5266,-21039.06,1.12
2455058.53004,-21039.35,1.23
2455272.86071,-21040.96,1.02
2455275.84421,-21042.16,0.95
2455277.84163,-21039.98,0.96
2455278.81607,-21036.55,0.98
2455281.80105,-21040.65,0.91
2455282.87673,-21038.25,0.91
2455283.84083,-21036.19,0.96
2455287.84913,-21038.25,0.86
2455390.59611,-21029.53,1.05
2455402.65467,-21038.11,2.32
2455407.51192,-21032.7,0.86
2455413.54019,-21035.7,0.86
2456079.65829,-21036.45,0.97
2456084.59116,-21033.07,1.09
2456089.6349,-21035.94,0.98
2456092.63496,-21040.04,1.19
2456098.55599,-21040.91,1.12
2456100.56408,-21037.18,1.24
2456119.48351,-21034.75,1.08
2456150.59156,-21039.31,1.09
2456385.75186,-21042.22,0.98
2456386.77082,-21040.52,1.03
2456387.79239,-21037.26,0.92
2456388.76904,-21036.85,1.0
2456389.73604,-21038.3,1.06
2456390.74724,-21034.04,1.21
2456391.81323,-21034.5,1.2
2456394.78575,-21033.99,1.14
2456395.74672,-21037.76,0.99
2456396.79442,-21037.15,1.05
2456397.81134,-21033.24,1.15
2456398.69056,-21035.46,1.31
2456398.92736,-21034.81,0.94
2456399.70627,-21038.28,0.98
2456400.75096,-21038.59,0.99
2456401.71968,-21037.05,1.02
2456402.73853,-21033.31,1.09
2456403.73278,-21034.4,1.06
2456404.75961,-21036.62,1.11
2456405.89461,-21035.52,1.15
2456406.74021,-21034.56,1.2
2456407.69517,-21032.56,1.1
2456415.66801,-21036.62,1.39
2456415.77939,-21034.67,1.48
2456416.70753,-21036.43,1.01
2456433.82248,-21036.52,1.38
2456452.63751,-21034.86,0.95
2456453.75019,-21030.72,2.18
2456454.57682,-21038.89,1.22
2456456.62158,-21032.66,1.28
2456459.60267,-21034.86,0.98
2456460.5812,-21032.86,1.17
2456467.72155,-21031.59,1.27
2456468.67028,-21037.19,0.96
2456469.57352,-21037.7,0.98
2456471.59908,-21035.43,1.04
2456472.6125,-21035.65,0.97
2456473.56506,-21037.17,1.23
2456474.58255,-21036.06,1.2
2456475.6252,-21033.56,1.46
2456476.55167,-21034.18,1.06
2456477.57348,-21034.71,0.97
2456481.55017,-21029.39,1.13
2456508.49103,-21038.12,1.07
2456728.91049,-21035.04,0.97
2456729.84922,-21033.09,0.92
2456732.84743,-21035.54,1.15
2456741.87906,-21037.33,1.04
2456742.83019,-21039.62,0.99
2456743.82086,-21037.73,0.98
2456744.83882,-21034.91,0.95
2456745.7772,-21033.19,1.08
2456746.84657,-21031.31,1.53
2456752.8454,-21038.29,0.94
2456754.87061,-21034.45,1.65
2456756.76744,-21040.72,0.99
2456756.88935,-21040.78,0.87
2456757.8188,-21039.77,1.01
2456758.83712,-21037.18,2.57
2456759.83814,-21036.84,1.02
2456760.82461,-21039.37,1.02
2456763.73493,-21037.61,0.86
2456764.78702,-21035.25,0.97
2456765.74535,-21036.68,0.93
2456766.7755,-21037.62,0.9
2456767.79309,-21038.5,0.97
2456768.78048,-21036.09,0.89
2456778.6903,-21037.69,0.95
2456779.78311,-21037.94,1.07
2456781.69072,-21037.66,1.11
2456783.73681,-21035.18,0.96
2456784.70481,-21031.87,1.18
2456785.62505,-21035.08,1.11
2456786.68016,-21036.92,0.95
2456817.69184,-21032.18,1.31
2456822.66121,-21032.34,1.06
2456823.72457,-21033.66,1.1
2456824.70247,-21035.78,1.02
2456825.6667,-21034.76,1.05
2456828.64751,-21036.19,1.01
2456837.74211,-21031.77,1.06
2456838.60239,-21031.42,1.0
2456839.59926,-21033.92,1.07
2456840.60777,-21035.73,1.03
2456842.50525,-21030.34,1.18
2456857.57577,-21029.94,1.31
2456858.59116,-21031.41,0.94
2456862.63944,-21031.68,1.63
2456863.56744,-21035.05,1.05
2456864.5607,-21040.31,1.02
2456867.61584,-21035.4,1.2
2456871.64049,-21032.0,1.22
2456872.55659,-21031.69,1.15
2456920.50118,-21035.25,1.43
2456921.49387,-21036.52,1.06
2456922.51874,-21038.04,0.92
2456923.50538,-21035.76,1.49
2456924.49256,-21037.12,1.18
2456925.49296,-21032.77,1.03
2456926.4833,-21032.93,1.02
2456928.49097,-21033.66,1.05
2456931.48257,-21035.35,0.96
2456932.50011,-21034.66,1.25
2457061.87925,-21036.2,0.99
2457062.87407,-21035.25,0.92
2457075.89132,-21036.21,1.02
2457076.86687,-21033.65,0.96
