ID;BJD;RV;e_RV
Corot-7    ;2454527.54388; 31181.80; 1.50
Corot-7    ;2454530.60432; 31173.20; 1.50
Corot-7    ;2454550.50330; 31197.20; 2.10
Corot-7    ;2454775.81912; 31188.10; 2.20
Corot-7    ;2454776.75845; 31184.80; 2.80
Corot-7    ;2454777.76168; 31181.70; 2.00
Corot-7    ;2454778.75459; 31173.40; 1.60
Corot-7    ;2454779.75068; 31175.00; 2.20
Corot-7    ;2454780.75479; 31180.50; 2.60
Corot-7    ;2454789.82987; 31187.80; 1.60
Corot-7    ;2454790.80299; 31191.40; 2.10
Corot-7    ;2454791.81099; 31199.00; 1.90
Corot-7    ;2454792.80999; 31193.30; 1.80
Corot-7    ;2454793.82773; 31185.50; 1.80
Corot-7    ;2454794.80063; 31190.10; 1.70
Corot-7    ;2454795.80903; 31183.50; 2.20
Corot-7    ;2454796.83649; 31175.60; 1.70
Corot-7    ;2454797.80341; 31178.70; 1.70
Corot-7    ;2454798.80609; 31192.50; 2.50
Corot-7    ;2454799.77699; 31192.60; 1.90
Corot-7    ;2454799.86454; 31197.70; 2.50
Corot-7    ;2454800.75909; 31188.00; 2.10
Corot-7    ;2454800.84616; 31185.70; 1.60
Corot-7    ;2454801.75304; 31183.20; 1.50
Corot-7    ;2454801.83965; 31185.10; 1.50
Corot-7    ;2454802.74839; 31185.40; 2.00
Corot-7    ;2454802.84331; 31183.50; 1.60
Corot-7    ;2454803.75261; 31181.50; 1.80
Corot-7    ;2454803.83418; 31178.90; 2.00
Corot-7    ;2454804.75547; 31178.20; 2.50
Corot-7    ;2454804.83425; 31184.70; 1.90
Corot-7    ;2454805.77747; 31197.00; 2.10
Corot-7    ;2454805.85049; 31203.90; 2.40
Corot-7    ;2454806.76473; 31204.40; 1.80
Corot-7    ;2454806.84441; 31203.60; 2.20
Corot-7    ;2454807.72812; 31193.70; 1.80
Corot-7    ;2454807.82635; 31196.50; 1.70
Corot-7    ;2454825.73681; 31191.60; 1.30
Corot-7    ;2454826.73945; 31194.30; 1.40
Corot-7    ;2454827.72616; 31201.80; 1.40
Corot-7    ;2454828.73607; 31216.00; 1.70
Corot-7    ;2454829.73539; 31205.70; 2.00
Corot-7    ;2454830.72439; 31188.10; 1.80
Corot-7    ;2454831.71029; 31178.80; 6.60
Corot-7    ;2454831.72876; 31175.30; 1.90
Corot-7    ;2454832.72523; 31186.50; 3.00
Corot-7    ;2454833.73417; 31189.20; 2.10
Corot-7    ;2454834.75395; 31200.30; 1.50
Corot-7    ;2454847.59680; 31189.00; 1.70
Corot-7    ;2454847.69389; 31190.80; 1.80
Corot-7    ;2454847.75682; 31190.90; 1.50
Corot-7    ;2454848.60071; 31184.60; 1.50
Corot-7    ;2454848.68224; 31179.20; 1.30
Corot-7    ;2454848.75906; 31175.80; 1.60
Corot-7    ;2454849.59402; 31183.50; 1.40
Corot-7    ;2454849.67189; 31178.60; 1.50
Corot-7    ;2454849.74906; 31179.10; 1.90
Corot-7    ;2454850.59516; 31186.90; 1.80
Corot-7    ;2454850.66418; 31187.80; 1.60
Corot-7    ;2454850.75035; 31190.70; 1.40
Corot-7    ;2454851.59268; 31191.40; 1.70
Corot-7    ;2454851.66644; 31192.60; 1.80
Corot-7    ;2454851.74758; 31192.30; 1.80
Corot-7    ;2454852.59858; 31189.20; 1.80
Corot-7    ;2454852.67397; 31186.10; 1.50
Corot-7    ;2454852.74125; 31191.80; 1.60
Corot-7    ;2454853.57395; 31196.10; 1.50
Corot-7    ;2454853.69813; 31200.40; 1.50
Corot-7    ;2454853.74614; 31200.80; 1.60
Corot-7    ;2454854.58025; 31206.20; 1.70
Corot-7    ;2454854.65784; 31207.40; 1.60
Corot-7    ;2454854.74168; 31200.10; 1.90
Corot-7    ;2454855.67546; 31200.30; 1.40
Corot-7    ;2454856.65275; 31194.20; 1.30
Corot-7    ;2454857.64682; 31209.10; 1.30
Corot-7    ;2454858.66346; 31213.00; 1.90
Corot-7    ;2454859.64988; 31201.30; 2.20
Corot-7    ;2454860.75215; 31190.70; 6.00
Corot-7    ;2454861.68445; 31199.10; 1.40
Corot-7    ;2454862.66272; 31189.80; 2.10
Corot-7    ;2454863.65503; 31178.40; 1.50
Corot-7    ;2454864.63019; 31174.70; 5.60
Corot-7    ;2454865.59778; 31187.10; 2.70
Corot-7    ;2454865.71591; 31182.90; 2.00
Corot-7    ;2454866.66022; 31176.80; 2.70
Corot-7    ;2454867.56038; 31163.30; 2.20
Corot-7    ;2454867.67064; 31164.60; 2.20
Corot-7    ;2454868.59183; 31167.50; 2.40
Corot-7    ;2454868.68755; 31169.50; 2.80
Corot-7    ;2454869.60021; 31184.80; 1.60
Corot-7    ;2454869.68803; 31189.00; 1.70
Corot-7    ;2454870.60126; 31186.80; 1.60
Corot-7    ;2454870.71574; 31187.20; 2.10
Corot-7    ;2454871.53798; 31192.30; 1.50
Corot-7    ;2454872.56476; 31203.00; 2.30
Corot-7    ;2454872.64964; 31198.00; 1.70
Corot-7    ;2454872.72732; 31192.80; 2.30
Corot-7    ;2454873.53755; 31195.00; 2.20
Corot-7    ;2454873.65015; 31192.90; 1.50
Corot-7    ;2454873.72007; 31190.20; 2.00
Corot-7    ;2454879.53655; 31201.70; 2.00
Corot-7    ;2454879.67615; 31199.00; 2.20
Corot-7    ;2454880.61375; 31205.40; 2.20
Corot-7    ;2454881.59105; 31203.80; 1.70
Corot-7    ;2454882.52566; 31198.70; 1.60
Corot-7    ;2454882.65602; 31203.40; 1.60
Corot-7    ;2454883.58801; 31204.30; 1.50
Corot-7    ;2454884.52626; 31198.50; 1.60
Corot-7    ;2454884.64641; 31190.30; 2.00
Corot-24   ;2455170.97568;    47.00;21.00
Corot-24   ;2455221.93657;    22.00;10.00
Corot-24   ;2455222.97150;    38.00;13.00
Corot-24   ;2455224.88081;    45.00;11.00
Corot-24   ;2455935.81114;     2.00; 6.00
Corot-24   ;2455935.91292;     4.00; 6.00
Corot-24   ;2455937.06564;    28.00; 9.00
Corot-24   ;2455962.93485;    15.00; 7.00
