id,starname,HD,HIP,TIC,letter,facility,n_stars,n_planets,discovery_method,year,period,a,planet_radius,planet_mass,density,e,insolation_flux,teff,i,b,K,spectral_type,star_temperature,star_radius,star_mass,star_met,star_luminosity,star_logg,star_age,star_density,star_prot,distance,RA,Dec
22,Kepler-237,,,TIC 258348597,c,Kepler,1,2,Transit,2014,8.103636,0.071,2.08,4.98,3.04,0.0,60.64,687.0,89.87,0.14,,,4861.0,0.72,0.7,0.03,-0.477,4.58,13.8,1.97075,,657.822,283.2213438,40.421762
30,Kepler-113,,,TIC 298834019,b,Kepler,1,2,Transit,2014,4.754,0.0502,1.82,11.7,10.73,0.0,105.33,775.0,86.54,0.08,5.4,,4725.0,0.69,0.75,0.05,-0.576,4.64,6.89,2.71,,262.351,287.9978721,50.9441847
32,Kepler-382,,,TIC 268612521,b,Kepler,1,2,Transit,2014,5.262155,0.055,1.32,2.3,5.5,0.0,381.46,1166.0,85.48,0.6,,,5600.0,0.94,0.88,0.082,0.146,4.4,11.3,0.37659,,935.446,299.1362435,45.8699582
36,Kepler-57,,,TIC 270615136,b,Kepler,1,2,Transit,2012,5.7293196,0.06,2.19,115.0,,0.0,124.35,850.0,88.9,0.9155,,,5145.0,0.73,0.83,0.117,-0.342,4.63,0.6,2.74529,,644.14,293.6413146,44.6570692
38,Kepler-255,,,TIC 272083669,c,Kepler,1,3,Transit,2014,9.946047,0.092,2.99,9.22,1.9,0.0,83.26,807.0,89.91,0.33,,,5573.0,0.93,0.87,0.339,-0.183,4.52,2.4,2.34688,,1052.53,296.0642702,45.9767647
42,Kepler-248,,,TIC 275493574,b,Kepler,1,2,Transit,2014,6.308205,0.066,3.02,9.38,1.87,0.0,79.31,819.0,89.9,0.38,,,5190.0,0.83,0.9,0.2,-0.418,4.57,2.34,1.6353,,738.792,293.0613138,43.5813577
154,Kepler-32,,,TIC 273590427,c,Kepler,1,5,Transit,2011,8.7522,0.09,2.0,158.9,,0.0,10.68,451.0,89.97,0.017,,M1 V,3900.0,0.53,0.58,0.0,-1.292,4.64,2.69,4.21511,,323.847,297.8423073,46.5743595
189,Kepler-1530,,,TIC 298892283,c,Kepler,1,3,Transit,2016,5.3227406,0.06,1.65,3.36,4.11,0.0,135.18,1167.0,85.11,0.0643,,,5477.0,0.88,0.92,0.03,-0.311,4.52,4.27,2.76538,,489.876,288.1624396,48.165153
206,Kepler-1322,,,TIC 275490412,c,Kepler,1,2,Transit,2021,6.45998001,0.0652,2.155,5.29,2.9,0.0,144.06,883.0,86.82,0.1106,,,5704.0,0.8,0.9,-0.3,-0.101,4.58,0.4,1.50481,,1350.32,293.2045009,45.4353919
219,Kepler-1530,,,TIC 298892283,d,Kepler,1,3,Transit,2021,9.20761013,0.0865,3.279,10.8,1.68,0.0,211.08,972.0,85.3,0.7434,,,5678.0,1.3,1.02,0.2,-0.311,4.21,4.27,0.29352,,489.876,288.1624396,48.165153
