Zini,Age,Mini,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPbrmag,G_BPftmag,G_RPmag
0.01520,1.00e+09,0.0900000036,0.090,-3.384,3.3657,5.191,0,0.000,0.545,0.00,0.00,-1,-4.43e-17,0.00,7.091e-01,2.756e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,13.230,14.918,17.517,17.543,13.492
0.01520,1.00e+09,0.1000000015,0.100,-3.222,3.3893,5.170,0,0.000,0.545,0.00,0.00,-1,-6.25e-17,0.00,7.091e-01,2.757e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.826,14.514,17.107,17.133,13.088
0.01520,1.00e+09,0.1200000122,0.120,-2.975,3.4228,5.135,0,0.000,0.545,0.00,0.00,-1,-1.05e-16,0.00,7.090e-01,2.757e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.208,13.818,16.287,16.314,12.411
0.01520,1.00e+09,0.1229623184,0.123,-2.948,3.4259,5.131,0,0.000,0.545,0.00,0.00,-1,-1.1e-16,0.00,7.090e-01,2.757e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.140,13.721,16.143,16.170,12.321
0.01520,1.00e+09,0.1400000006,0.140,-2.794,3.4430,5.102,0,0.000,0.545,0.00,0.00,-1,-1.52e-16,0.00,7.089e-01,2.758e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.755,13.164,15.345,15.375,11.809
0.01520,1.00e+09,0.1493837237,0.149,-2.726,3.4495,5.088,0,0.000,0.545,0.00,0.00,-1,-1.75e-16,0.00,7.089e-01,2.758e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.585,12.935,15.023,15.053,11.599
0.01520,1.00e+09,0.1599999964,0.160,-2.653,3.4565,5.073,0,0.000,0.545,0.00,0.00,-1,-2.03e-16,0.00,7.088e-01,2.759e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.403,12.692,14.682,14.713,11.376
0.01520,1.00e+09,0.2000000030,0.200,-2.438,3.4752,5.030,0,0.000,0.545,0.00,0.00,-1,-3.14e-16,0.00,7.087e-01,2.760e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,10.865,12.005,13.752,13.785,10.744
0.01520,1.00e+09,0.2500000000,0.250,-2.236,3.4916,4.991,0,0.000,0.545,0.00,0.00,-1,-4.67e-16,0.00,7.086e-01,2.761e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,10.360,11.378,12.943,12.977,10.165
0.01520,1.00e+09,0.3135805130,0.314,-2.035,3.5051,4.941,0,0.000,0.545,0.00,0.00,-1,-7.02e-16,0.00,7.089e-01,2.759e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,9.856,10.779,12.218,12.253,9.606
